Title,Link,Bed,Toilet,Size,Room,Model,Built,Price,Remaing
Blk 122 Ang Mo Kio Avenue 3,https://www.srx.com.sg/listings/100173271/for-sale-ang-mo-kio-avenue-3-ang-mo-kio-avenue-3,2,2,67,3 Room,New Generation,1978,420000,45
Blk 835 Hougang Central,https://www.srx.com.sg/listings/99074051/for-sale-hougang-central-4-room-for-sale,3,2,110,4 Room,Model A,1992,420000,31
Blk 359A Admiralty Drive,https://www.srx.com.sg/listings/100701781/for-sale-admiralty-drive-359a-admiralty-drive,4,2,110,5 Room,Improved,2001,420000,22
Blk 210 Pasir Ris Street 21,https://www.srx.com.sg/listings/100701811/for-sale-pasir-ris-street-21-huge-spacious-with-four-bedrooms,4,2,147,HDB Executive,Apartment,1993,680000,30
Blk 349 Ubi Avenue 1,https://www.srx.com.sg/listings/100306621/for-sale-ubi-avenue-1-rare-4-bedroom-4a-unit-for-sale,4,2,104,4 Room,Model A,1986,680000,37
Blk 675D Fern Grove @ Yishun,https://www.srx.com.sg/listings/100593231/for-sale-fern-grove-yishun-yishun-avenue-4,3,2,93,4 Room,Model A,2018,680000,5
Blk 483 Admiralty Link,https://www.srx.com.sg/listings/100674151/for-sale-admiralty-link-admiralty-link,3,2,111,5 Room,Improved,2004,620000,19
Blk 10 Haig Road,https://www.srx.com.sg/listings/100690741/for-sale-haig-road-haig-road,2,1,65,3 Room,Improved,1976,620000,47
Blk 185C Marsiling Greenview,https://www.srx.com.sg/listings/100703271/for-sale-marsiling-greenview-marsiling-greenview,2,None,68,3 Room,Model A,2019,620000,4
Blk 75 Bedok North Road,https://www.srx.com.sg/listings/100304231/for-sale-bedok-north-road-walk-to-market-eateries-shops-schools-mrt,2,1,59,3 Room,Improved,1978,818000,45
Blk 123 Simei Street 1,https://www.srx.com.sg/listings/100647131/for-sale-simei-street-1-walk-to-mrt-eastpoint-mall-eateries-shops-scho,3,2,121,5 Room,Improved,1988,818000,35
Blk 507 Bedok North Avenue 3,https://www.srx.com.sg/listings/100662301/for-sale-bedok-north-avenue-3-walk-to-market-eateries-shops-schools-mrt,3,2,92,4 Room,New Generation,1978,818000,45
Blk 216B Compassvale Drive,https://www.srx.com.sg/listings/100701501/for-sale-compassvale-drive-next-to-mrt-5rm,3,2,112,HDB Executive,Apartment,2017,550000,6
Blk 1 Dover Road,https://www.srx.com.sg/listings/100247561/for-sale-dover-road-dover-road,2,2,73,3 Room,Improved,1975,550000,48
Blk 124 Yishun Street 11,https://www.srx.com.sg/listings/100614211/for-sale-yishun-street-11-rare-huge-area-unit-bedrooms-4x-high-floor-ser,4,2,134,5 Room,Model A,1985,550000,38
Blk 316 Jurong East Street 32,https://www.srx.com.sg/listings/100580401/for-sale-jurong-east-street-32-jurong-east-street-32,3,2,104,4 Room,Model A,1984,635000,39
Blk 530A Pasir Ris One,https://www.srx.com.sg/listings/100288981/for-sale-pasir-ris-one-great-location-1-minute-walk-to-pasir-ris-mrt-sta,3,2,86,4 Room,Premium Apartment,2015,635000,8
Blk 168 Bukit Batok West Avenue 8,https://www.srx.com.sg/listings/100438401/for-sale-bukit-batok-west-avenue-8-bukit-batok-west-avenue-8,3,2,103,4 Room,Model A,1984,635000,39
Blk 6 Holland Close,https://www.srx.com.sg/listings/96118131/for-sale-holland-close-holland-v-mrt-high-floor-mins-to-city-reside-in,2,1,65,None,None,None,530000,None
Blk 157D Rivervale Crescent,https://www.srx.com.sg/listings/98331371/for-sale-rivervale-crescent-rivervale-crescent,3,2,111,5 Room,Improved,2003,530000,20
Blk 286C Compassvale Crescent,https://www.srx.com.sg/listings/100431281/for-sale-compassvale-crescent-compassvale-crescent,3,2,93,None,None,None,530000,None
Blk 93A Telok Blangah Street 31,https://www.srx.com.sg/listings/100698541/for-sale-telok-blangah-street-31-telok-blangah-street-31,2,2,68,3 Room,Model A,2018,399000,5
Blk 742 Yishun Avenue 5,https://www.srx.com.sg/listings/100644631/for-sale-yishun-avenue-5-yishun-avenue-5,2,2,67,3 Room,New Generation,1985,399000,38
Blk 746 Woodlands Circle,https://www.srx.com.sg/listings/100466241/for-sale-woodlands-circle-woodlands-circle,3,2,102,4 Room,Model A,1998,399000,25
Blk 43 Telok Blangah Rise,https://www.srx.com.sg/listings/100558441/for-sale-telok-blangah-rise-471-segar-road,2,1,59,3 Room,Simplified,1976,440000,47
Blk 61 New Upper Changi Road,https://www.srx.com.sg/listings/98752021/for-sale-new-upper-changi-road-rare-renovated-5rm-flat-up-for-grab,2,2,115,5 Room,Model A,1977,440000,46
Blk 210 Yishun Street 21,https://www.srx.com.sg/listings/100170101/for-sale-yishun-street-21-yishun-street-21,2,2,67,3 Room,New Generation,1985,440000,38
Blk 427 Clementi Avenue 3,https://www.srx.com.sg/listings/100648961/for-sale-clementi-avenue-3-clementi-avenue-3,2,2,67,3 Room,New Generation,1978,348000,45
Blk 218 Jurong East Street 21,https://www.srx.com.sg/listings/98959431/for-sale-jurong-east-street-21-jurong-east-street-21,3,2,92,4 Room,New Generation,1984,348000,39
Blk 11 Chai Chee Road,https://www.srx.com.sg/listings/99962171/for-sale-chai-chee-road-chai-chee-road,3,2,120,5 Room,Improved,2001,348000,22
Blk 446A West Crest @ Bukit Batok,https://www.srx.com.sg/listings/99911771/for-sale-west-crest-bukit-batok-bukit-batok-west-avenue-8,3,3,112,5 Room,Improved,2019,818000,4
Blk 522C Tampines Central 7,https://www.srx.com.sg/listings/100434941/for-sale-tampines-central-7-tampines-central-7,3,2,113,5 Room,Improved,2015,818000,8
Blk 147 Lorong 2 Toa Payoh,https://www.srx.com.sg/listings/99736701/for-sale-lorong-2-toa-payoh-lorong-2-toa-payoh,3,2,110,5 Room,Improved,2006,818000,17
Blk 443C Bukit Batok West Avenue 8,https://www.srx.com.sg/listings/98456721/for-sale-bukit-batok-west-avenue-8-bukit-batok-west-avenue-8,3,2,92,4 Room,Model A,2019,499000,4
Blk 528 Jelapang Road,https://www.srx.com.sg/listings/99853201/for-sale-jelapang-road-jelapang-road,3,3,143,HDB Executive,Maisonette,1999,499000,24
