Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Ang Mo Kio,HDB 3 Room,122,Ang Mo Kio Avenue 3,,Blk 122 Ang Mo Kio Avenue 3,,,67,54,420000,https://www.srx.com.sg/listings/100173271/for-sale-ang-mo-kio-avenue-3-ang-mo-kio-avenue-3,45.0,2,2.0
Hougang Central,HDB 4 Room,835,Hougang Central,,Blk 835 Hougang Central,,,110,68,420000,https://www.srx.com.sg/listings/99074051/for-sale-hougang-central-4-room-for-sale,31.0,3,2.0
Admiralty,HDB 5 Room,359A,Admiralty Drive,,Blk 359A Admiralty Drive,,,110,77,420000,https://www.srx.com.sg/listings/100701781/for-sale-admiralty-drive-359a-admiralty-drive,22.0,4,2.0
Pasir Ris,HDB Executive,210,Pasir Ris Street 21,,Blk 210 Pasir Ris Street 21,,,147,69,680000,https://www.srx.com.sg/listings/100701811/for-sale-pasir-ris-street-21-huge-spacious-with-four-bedrooms,30.0,4,2.0
Admiralty Link,HDB 5 Room,483,Admiralty Link,,Blk 483 Admiralty Link,,,111,80,620000,https://www.srx.com.sg/listings/100674151/for-sale-admiralty-link-admiralty-link,19.0,3,2.0
Haig,HDB 3 Room,10,Haig Road,,Blk 10 Haig Road,,,65,52,620000,https://www.srx.com.sg/listings/100690741/for-sale-haig-road-haig-road,47.0,2,1.0
Bedok North,HDB 3 Room,75,Bedok North Road,,Blk 75 Bedok North Road,,,59,54,818000,https://www.srx.com.sg/listings/100304231/for-sale-bedok-north-road-walk-to-market-eateries-shops-schools-mrt,45.0,2,1.0
Bedok North,HDB 4 Room,507,Bedok North Avenue 3,,Blk 507 Bedok North Avenue 3,,,92,54,818000,https://www.srx.com.sg/listings/100662301/for-sale-bedok-north-avenue-3-walk-to-market-eateries-shops-schools-mrt,45.0,3,2.0
Compassvale,HDB Executive,216B,Compassvale Drive,,Blk 216B Compassvale Drive,,,112,93,550000,https://www.srx.com.sg/listings/100701501/for-sale-compassvale-drive-next-to-mrt-5rm,6.0,3,2.0
Dover,HDB 3 Room,1,Dover Road,,Blk 1 Dover Road,,,73,51,550000,https://www.srx.com.sg/listings/100247561/for-sale-dover-road-dover-road,48.0,2,2.0
Yishun,HDB 5 Room,124,Yishun Street 11,,Blk 124 Yishun Street 11,,,134,61,550000,https://www.srx.com.sg/listings/100614211/for-sale-yishun-street-11-rare-huge-area-unit-bedrooms-4x-high-floor-ser,38.0,4,2.0
Jurong East,HDB 4 Room,316,Jurong East Street 32,,Blk 316 Jurong East Street 32,,,104,60,635000,https://www.srx.com.sg/listings/100580401/for-sale-jurong-east-street-32-jurong-east-street-32,39.0,3,2.0
Pasir Ris One,HDB 4 Room,530A,Pasir Ris One,,Blk 530A Pasir Ris One,,,86,91,635000,https://www.srx.com.sg/listings/100288981/for-sale-pasir-ris-one-great-location-1-minute-walk-to-pasir-ris-mrt-sta,8.0,3,2.0
Bukit Batok West,HDB 4 Room,168,Bukit Batok West Avenue 8,,Blk 168 Bukit Batok West Avenue 8,,,103,60,635000,https://www.srx.com.sg/listings/100438401/for-sale-bukit-batok-west-avenue-8-bukit-batok-west-avenue-8,39.0,3,2.0
Rivervale Crescent,HDB 5 Room,157D,Rivervale Crescent,,Blk 157D Rivervale Crescent,,,111,79,530000,https://www.srx.com.sg/listings/98331371/for-sale-rivervale-crescent-rivervale-crescent,20.0,3,2.0
Telok Blangah,HDB 3 Room,93A,Telok Blangah Street 31,,Blk 93A Telok Blangah Street 31,,,68,94,399000,https://www.srx.com.sg/listings/100698541/for-sale-telok-blangah-street-31-telok-blangah-street-31,5.0,2,2.0
Yishun,HDB 3 Room,742,Yishun Avenue 5,,Blk 742 Yishun Avenue 5,,,67,61,399000,https://www.srx.com.sg/listings/100644631/for-sale-yishun-avenue-5-yishun-avenue-5,38.0,2,2.0
Woodlands Circle,HDB 4 Room,746,Woodlands Circle,,Blk 746 Woodlands Circle,,,102,74,399000,https://www.srx.com.sg/listings/100466241/for-sale-woodlands-circle-woodlands-circle,25.0,3,2.0
Telok Blangah Rise,HDB 3 Room,43,Telok Blangah Rise,,Blk 43 Telok Blangah Rise,,,59,52,440000,https://www.srx.com.sg/listings/100558441/for-sale-telok-blangah-rise-471-segar-road,47.0,2,1.0
New Upper Changi,HDB 5 Room,61,New Upper Changi Road,,Blk 61 New Upper Changi Road,,,115,53,440000,https://www.srx.com.sg/listings/98752021/for-sale-new-upper-changi-road-rare-renovated-5rm-flat-up-for-grab,46.0,2,2.0
Yishun,HDB 3 Room,210,Yishun Street 21,,Blk 210 Yishun Street 21,,,67,61,440000,https://www.srx.com.sg/listings/100170101/for-sale-yishun-street-21-yishun-street-21,38.0,2,2.0
