Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
888 Woodlands Dr 50,Supermarket,888,Woodlands Drive 50,730888,"888 Woodlands Drive 50, #01-757 Singapore 730888",103.7952803,1.4377962
Ang Mo Kio Blk 215,Supermarket,215,Ang Mo Kio Ave 1,560215,"215 Ang Mo Kio Ave 1, #01-877 Singapore 560215",103.8416439,1.3665595
Ang Mo Kio Blk 712,Supermarket,712,Ang Mo Kio Ave 6,560712,"712 Ang Mo Kio Ave 6, #01-4056 Singapore 560712",103.8470075,1.3712461
Bedok North A,Supermarket,212,Bedok North Street 1,460212,"212 Bedok North Street 1, #01-147 Singapore 460212",103.9316518,1.3257807
Bedok North Blk 89,Supermarket,89,Bedok North Street 4,460089,"89 Bedok North Street 4, #01-77/79 Singapore 460089",103.9382518,1.3329912
Bishan Blk 510,Supermarket,510,Bishan Street 13,570510,"510 Bishan Street 13, #01-520 Singapore 570510",103.8496434,1.3487949
Bishan North Blk 279,Supermarket,279,Bishan Street 24,570279,"279 Bishan Street 24, #01-62/64 Singapore 570279",103.8438034,1.3572746
Boon Lay,Supermarket,221,Boon Lay Place,640221,"221 Boon Lay Place, #02-200 Singapore 640221",103.7124408,1.3462734
Bukit Batok East,Supermarket,280,Bukit Batok East Ave 3,650280,"280 Bukit Batok East Ave 3, #01-315 Singapore 650280",103.7570308,1.34784525
Bukit Batok HT,Supermarket,2,Bukit Batok West,659003,"2 Bukit Batok West, #01-10, HomeTeamNS Club Singapore 659003",103.7499738,1.3659561
Bukit Batok MRT,Supermarket,10,Bukit Batok Central,659958,"10 Bukit Batok Central, #01-08 Singapore 659958",103.7495906,1.3490572
Bukit Batok West,Supermarket,166,Bukit Batok West Ave 8,650166,"166 Bukit Batok West Ave 8, #01-256/258 Singapore 650166",103.7428387,1.3471669
FairPrice outlets in Singapore â€“ Bukit Ho Swee,Supermarket,50,Havelock Road,160050,"50 Havelock Road, #01-755 Singapore 160050",103.8267592,1.2898277
Bukit Merah,Supermarket,166,Bukit Merah Central,150166,"166 Bukit Merah Central, #02-3531 Singapore 150166",103.8175344,1.2829291
Buona Vista Community Centre,Supermarket,36,Holland Drive,270036,"36 Holland Drive, #01-03/04/05 Singapore 270036",103.7927,1.3095
Cambridge Blk 43,Supermarket,43,Cambridge Road,210043,"43 Cambridge Road, #01-15 Singapore 210043",103.849388,1.315499
Canberra Road Blk 511,Supermarket,511,Canberra Road,750511,"511 Canberra Road, #02-03 Singapore 750511",103.8195194,1.453886
FairPrice outlets in Singapore â€“ Chai Chee,Supermarket,29B,Chai Chee Ave,462029,"29B Chai Chee Ave, #01-62 Singapore 462029",103.9237971,1.3243068
Changi Airport T2,Supermarket,65,Airport Boulevard,819643,"65 Airport Boulevard, #B16-029, Basement Level South, Terminal, Changi Airport Singapore 819643",103.9863275,1.3550914
Chinatown Point,Supermarket,133,New Bridge Road,59413,"133 New Bridge Road, #B1-01, Chinatown Point Singapore 059413",103.8449052,1.28519745
City Square Mall,Supermarket,180,Kitchener Road,208539,"180 Kitchener Road, #B1-09/10 Singapore 208539",103.8565712,1.3113537
Clementi A,Supermarket,451,Clementi Ave 3,120451,"451 Clementi Ave 3, #01-307 Singapore 120451",103.7658379,1.3128156
Clementi Blk 352,Supermarket,352,Clementi Ave 2,120352,"352 Clementi Ave 2, #01-141/143 Singapore 120352",103.7711263,1.3150492
Compassvale Link,Supermarket,277C,Compassvale Link,544277,"277C Compassvale Link, #01-13 Singapore 544277",103.8938955,1.38233505
Coronation Plaza,Supermarket,587,Bukit Timah Road,269707,"587 Bukit Timah Road, #01-01, Coronation Plaza Singapore 269707",103.8101748,1.3237563
Dawson,Supermarket,57,Dawson Road,142057,"57 Dawson Road, #01-07, Dawson Place Singapore 142057",103.8113068,1.2925348
