School_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
Admiralty Secondary School,Secondary School,31,Woodlands Cres,737916,"31 Woodlands Cres, Singapore 737916",103.8029081,1.44591185
Ahmad Ibrahim Secondary School,Secondary School,751,Yishun Ave 7,768928,"751 Yishun Ave 7, Singapore 768928",103.8308472,1.4373634
Anderson Secondary School,Secondary School,10,Ang Mo Kio Street 53,569206,"10 Ang Mo Kio Street 53, Singapore 569206",103.8517227,1.37541705
Anglican High School,Secondary School,600,Upper Changi Road,487012,"600 Upper Changi Road, Singapore 487012",103.9417594,1.33021825
Anglo-Chinese School (Barker Road),Secondary School,60,Barker Road,309919,"60, Barker Road, Singapore 309919",103.8356614,1.3197094
Anglo-Chinese School (Independent),Secondary School,121,Dover Road,139650,"121 Dover Road, Singapore 139650",103.7806778,1.30322315
Ang Mo Kio Secondary School,Secondary School,6,Ang Mo Kio Street 22,569362,"6 Ang Mo Kio Street 22, Singapore 569362",103.842545,1.3676706
Assumption English School,Secondary School,622,Upper Bukit Timah Rd,678116,"622 Upper Bukit Timah Rd, Singapore 678116",103.7691319,1.3547497
Bartley Secondary School,Secondary School,10,Jalan Bunga Rampai,538403,10 Jalan Bunga Rampai Singapore 538403,103.8823271,1.3406552
Beatty Secondary School,Secondary School,1,Toa Payoh North,318990,1 Toa Payoh North Singapore 318990,103.8522734,1.3417851
Bedok Green Secondary School,Secondary School,360,Bedok North Avenue 3,469722,"360 Bedok North Avenue 3, Singapore 469722",103.9358583,1.334061
Bedok South Secondary School,Secondary School,1,Jalan Langgar Bedok,468585,"1 Jalan Langgar Bedok, Singapore 468585",103.9510283,1.3255597
Bedok View Secondary School,Secondary School,6,Bedok South Ave 3,469293,"6 Bedok South Ave 3, Singapore 469293",103.9435436,1.3247404
Bendemeer Secondary School,Secondary School,1,Saint Wilfred Road,327919,"1 St. Wilfred Road, Singapore 327919",103.860486,1.3244863
Boon Lay Secondary School,Secondary School,11,Jurong West Street 65,648354,"11 Jurong West Street 65, Singapore 648354",103.7016738,1.3427581
Bowen Secondary School,Secondary School,2,Lorong Napiri,547529,No. 2 Lorong Napiri Singapore 547529,103.8776018,1.37088385
Broadrick Secondary School,Secondary School,61,Dakota Crescent,399935,"61 Dakota Crescent, Singapore 399935",103.8868866,1.30726495
Bukit Batok Secondary School,Secondary School,50,Bukit Batok West Ave 8,658962,"50 Bukit Batok West Ave 8, Singapore 658962",103.7407154,1.3484109
Bukit Merah Secondary School,Secondary School,10,Lengkok Bahru,159050,"10 Lengkok Bahru, Singapore 159050",103.8130216,1.2859241
Bukit Panjang Govt. High School,Secondary School,7,Choa Chu Kang Avenue 4,689809,"7 Choa Chu Kang Avenue 4, Singapore 689809",103.7383207,1.38209905
Bukit View Secondary School,Secondary School,16,Bukit Batok Street 21,659633,"16 Bukit Batok Street 21, Singapore 659633",103.752192,1.34569905
Catholic High School,Secondary School,9,Bishan Street 22,579767,"9 Bishan Street 22, Singapore 579767",103.8449976,1.35484625
Canberra Secondary School,Secondary School,51,Sembawang Drive,757699,"51 Sembawang Drive, Singapore 757699",103.8141799,1.45372065
Cedar Girls' Secondary School,Secondary School,1,Cedar Avenue,349692,"1 Cedar Avenue, Singapore 349692",103.8742521,1.33421505
Changkat Changi Secondary School,Secondary School,23,Simei Street 3,529894,"23 Simei Street 3, Singapore 529894",103.9529812,1.3404936
CHIJ Katong Convent,Secondary School,346,Marine Terrace,449150,"346 Marine Terrace, Singapore 449150",103.9177862,1.30633255
CHIJ Secondary (Toa Payoh),Secondary School,626,Lorong 1 Toa Payoh,319764,"626 Lorong 1 Toa Payoh, Singapore 319764",103.8428466,1.3326721
CHIJ St. Joseph's Convent,Secondary School,62,Sengkang East Way,548595,"62 Sengkang East Way, Singapore 548595",103.9024866,1.39185175
CHIJ St. Nicholas Girls' School,Secondary School,501,Ang Mo Kio Street 13,569405,"501 Ang Mo Kio Street 13, Singapore 569405",103.8340777,1.37344905
CHIJ St. Theresa's Convent,Secondary School,160,Lower Delta Road,99138,"160 Lower Delta Road, Singapore 099138",103.8222529,1.27614885
Chua Chu Kang Secondary School,Secondary School,3,Teck Whye Crescent,688845,"3 Teck Whye Crescent, Singapore 688845",103.7515482,1.38350835
Chung Cheng High School (Main),Secondary School,50,Goodman Road,439012,"50 Goodman Road, Singapore 439012",103.8917708,1.3053551
Chung Cheng High School (Yishun),Secondary School,11,Yishun Street 61,768547,"11 Yishun Street 61, Singapore 768547",103.8372873,1.41910045
Clementi Town Secondary School,Secondary School,10,Clementi Ave 3,129904,"10 Clementi Ave 3, Singapore 129904",103.7619065,1.31566085
Commonwealth Secondary School,Secondary School,698,West Coast Rd,608784,"698 West Coast Rd, Singapore 608784",103.7457295,1.31977715
Compassvale Secondary School,Secondary School,51,Compassvale Cres,545083,"51 Compassvale Cres, Singapore 545083",103.9001974,1.39675715
Crescent Girls' School,Secondary School,357,Tanglin Road,247961,"357 Tanglin Road, Singapore 247961",103.8180238,1.2934392
Crest Secondary School,Secondary School,561,Jurong East Street 24,609561,"561 Jurong East Street 24, Singapore 609561",103.7428092,1.343795
Damai Secondary School,Secondary School,480,Bedok Reservoir Road,479229,"4800 Bedok Reservoir Road,Â Singapore 479229",103.917393,1.3341831
Deyi Secondary School,Secondary School,1,Ang Mo Kio Street 42,569277,"1 Ang Mo Kio Street 42, Singapore 569277",103.8521119,1.36674255
Dunearn Secondary School,Secondary School,21,Bukit Batok West Avenue 2,659204,"21 Bukit Batok West Avenue 2, Singapore 659204",103.7445462,1.36358465
Dunman High School,Secondary School,10,Tanjong Rhu Rd,436895,"10 Tanjong Rhu Rd, Singapore 436895",103.870423,1.2971352
Dunman Secondary School,Secondary School,21,Tampines Street 45,529093,"21 Tampines Street 45, Singapore 529093",103.9560139,1.36116845
East Spring Secondary School,Secondary School,30,Tampines Street 34,529231,30 Tampines Street 34 Singapore 529231,103.9610806,1.35697385
Edgefield Secondary School,Secondary School,36,Punggol Field,828814,"36 Punggol Field, Singapore 828814",103.9023095,1.40019645
Evergreen Secondary School,Secondary School,11,Woodlands Street 83,738489,"11 Woodlands Street 83, Singapore 738489",103.7940238,1.44173915
Fairfield Methodist Secondary School,Secondary School,102,Dover Road,139649,"102 Dover Road, Singapore 139649",103.7843993,1.3020215
Fajar Secondary School,Secondary School,31,Gangsa Road,678972,"31 Gangsa Road, Singapore 678972",103.7640114,1.37530805
Fuchun Secondary School,Secondary School,21,Woodlands Avenue 1,739062,"21 Woodlands Avenue 1, Singapore 739062",103.7754625,1.4292054
Fuhua Secondary School,Secondary School,5,Jurong West Street 41,649410,5 Jurong West Street 41 Singapore 649410,103.7270228,1.34731075
Gan Eng Seng School,Secondary School,1,Henderson Road,159561,"1 Henderson Road, Singapore 159561",103.8236379,1.2894326
Geylang Methodist School (Secondary),Secondary School,2,Geylang East Central,389705,"2 Geylang East Central, Singapore 389705",103.8832512,1.31760385
Greendale Secondary School,Secondary School,51,Edgedale Plains,828866,"51 Edgedale Plains, Singapore 828866",103.9115751,1.397582
Greenridge Secondary School,Secondary School,32,Bukit Panjang Ring Rd,679938,"32 Bukit Panjang Ring Rd, Singapore 679938",103.7738489,1.3825375
Guangyang Secondary School,Secondary School,8,Bishan Street 12,579807,"8 Bishan Street 12, Singapore 579807",103.8499513,1.34467265
Hai Sing Catholic School,Secondary School,9,Pasir Ris Drive 6,519421,"9, Pasir Ris Drive 6, Singapore 519421",103.9551579,1.3745734
Hillgrove Secondary School,Secondary School,10,Bukit Batok Street 52,659250,"10 Bukit Batok Street 52, Singapore 659250",103.7529905,1.3533675
Holy Innocents' High School,Secondary School,119,Upper Serangoon Road,534786,"1191, Upper Serangoon Road, Singapore 534786",103.8711693,1.3458664
Hougang Secondary School,Secondary School,2,Hougang Street 93,534256,"2 Hougang Street 93, Singapore 534256",103.8824589,1.37776255
Hua Yi Secondary School,Secondary School,60,Jurong West Street 42,649371,"60 Jurong West Street 42, Singapore 649371",103.7216252,1.3520885
