,Coordinates,FairpricePoints,HosPoints,MallPoints,MRTPoints,ParksPoints,PriSchPoints,SecSchPoints,TertairyPoints,UniPoints,Area,Location_Type,Link,floor_area_sqm,remaining_lease,Sale_Price,Location,Lease_Points,SQM_Points,Total_Points,History_Avg_Point,Percent
0,"1.27388335, 103.82533927474063",0.0027913599403738215,1780.6519413164033,0.0,0.0,0.0013942422348692017,0.033240753420496774,0.009397332382510304,0.0,0.0,BUKIT PURMEI,HDB 3 Room,https://www.srx.com.sg/listings/100239161/for-sale-bukit-purmei-road-bukit-purmei-road,60,74,580000,BUKIT MERAH,0.035,0.02,1780.7537650043816,0.0,0.0
1,"1.2885496, 103.82729473441896",0.0150751978040507,1306.943242714608,0.010016009529690721,0.018756336476200165,0.0030627788504622197,0.01655559196977201,0.009564626507103628,0.0,0.0,BEO CRESCENT,HDB 3 Room,https://www.99.co/singapore/sale/property/38-beo-crescent-hdb-KeKCJMzzRbnbAuthDd7Gms,47,58,388000,BUKIT MERAH,0.025,0.02,1307.0612732557454,0.0,0.0
2,"1.29269905, 103.80286422683048",0.014249891218750787,1676.3927492729126,0.010615928943451959,0.007290392567612627,0.0,0.011018910920758046,0.004608978076537108,0.0,0.0,MEI LING,HDB 3 Room,https://www.srx.com.sg/listings/100454561/for-sale-mei-ling-street-mei-ling-street,46,66,1280000,QUEENSTOWN,0.03,0.02,1676.4905333746397,0.0,0.0
3,"1.32912845, 103.9380310021696",0.010161702696066078,20731.360580598244,0.004521839825294048,0.006679459104819723,0.0,0.02975358179696984,0.031027386043128047,0.0,0.0,BEDOK NORTH,HDB 3 Room,https://www.srx.com.sg/listings/100447541/for-sale-bedok-north-street-2-bedok-north-street-2,54,67,550000,BEDOK,0.03,0.02,20731.492724567706,0.0,0.0
4,"1.3384817999999998, 103.85707579485924",3499.7375254838817,0.12914626436046606,0.0,0.0044684195734236085,0.0,0.034309647509905505,0.006172730105191938,0.0,0.0,LORONG 7 TOA PAYOH,HDB 5 Room,https://www.99.co/singapore/sale/property/6-lorong-7-toa-payoh-hdb-TkfuKsfrMGeHQdbQLnPhRH,74,120,780000,TOA PAYOH,0.05,0.025,3499.986622545431,0.0,0.0
5,"1.34637605, 103.9450248427422",0.00497903453247368,2104.7096046058273,0.01025300499029166,0.007675990379217025,0.0,0.040685219999904494,0.015288782864740724,0.0,0.0,TAMPINES,HDB Executive,https://www.srx.com.sg/listings/99485621/for-sale-tampines-street-11-tampines-street-11,60,190,330000,TAMPINES,0.05,0.02,2104.858486638594,0.0,0.0
6,"1.34753865, 103.8495469088343",0.014275533067331465,5091.544201359687,0.005702183258787682,0.011063995888500358,0.0,0.030696550974275618,0.039528227270013365,0.0,0.0,BISHAN,HDB 3 Room,https://www.99.co/singapore/sale/property/116-bishan-street-12-hdb-Lmte5dDvCXbbb25NydR6Jn,61,63,490000,BISHAN,0.03,0.02,5091.695467850146,0.0,0.0
7,"1.3523302, 103.95349233821358",0.007286205853497079,2354.1428778561403,0.004132103393212265,0.01031313878419048,0.0,0.042991731891429075,0.020233421104253916,0.0,0.0,TAMPINES,HDB 3 Room,https://www.srx.com.sg/listings/96184711/for-sale-tampines-street-21-live-close-to-all,63,68,1030000,TAMPINES,0.03,0.02,2354.2778344571675,0.0,0.0
8,"1.3827943999999999, 103.89394600670937",0.04623010780384084,6704.125440476436,0.0048472974405515444,0.027368647673573773,0.0014212915577413606,0.04144223200727316,0.01791016405260788,0.0,0.0,COMPASSVALE LINK,HDB 4 Room,https://www.99.co/singapore/sale/property/275d-compassvale-link-hdb-RXK52j3CPSDBdqFjjRYy95,85,90,768000,SENGKANG,0.05,0.025,6704.339660216971,0.0,0.0
9,"1.3937083000000001, 103.90937414889665",0.007908116531889732,919.9661881519081,0.007907660440846096,0.005433512231215426,0.0,0.05737068149175027,0.021395483907747745,0.0,0.0,EDGEDALE,HDB 5 Room,https://www.srx.com.sg/listings/100487611/for-sale-edgedale-plains-edgedale-plains,93,112,630000,PUNGGOL,0.05,0.035,920.1512036065116,0.0,0.0
10,"1.4263979, 103.82774144707196",0.002077686156207024,955.6250345641511,0.0,0.003426971695059443,0.0,0.01491988369655594,0.022474412792686853,0.010693871085367006,0.0,YISHUN,HDB 5 Room,https://www.srx.com.sg/listings/100161601/for-sale-yishun-street-71-yishun-street-71,63,131,350000,YISHUN,0.05,0.02,955.7486273895768,0.0,0.0
11,"1.3058570500000002, 103.91478544445764",0.0,1011.8495952795573,0.0,0.0,0.0015834987304706254,0.02031173896268304,0.02199988727158888,0.007097095291262304,0.0,MARINE TERRACE,HDB 3 Room,https://www.srx.com.sg/listings/100269141/for-sale-marine-terrace-marine-terrace,51,65,520000,MARINE PARADE,0.03,0.02,1011.9505874998133,0.0,0.0
12,"1.36457225, 103.85509283038915",0.0,2960.310494036999,0.0021606399747719786,0.011876009367538631,0.0022588200048050773,0.017156480705268633,0.009757705410669767,0.0,0.0,ANG MO KIO,HDB 4 Room,https://www.srx.com.sg/listings/100237471/for-sale-ang-mo-kio-avenue-10-ang-mo-kio-avenue-10,55,99,450000,ANG MO KIO,0.05,0.02,2960.423703692462,0.0,0.0
13,"1.39777955, 103.88117175055115",0.0,909.6914746084382,0.002156876762493813,0.0,0.0022341527328436873,0.016611455956989193,0.0047152739423090995,0.0,0.0,FERNVALE,HDB 3 Room,https://www.srx.com.sg/listings/100552281/for-sale-fernvale-street-fernvale-street,92,68,570000,SENGKANG,0.03,0.035,909.7821923678327,0.0,0.0
