Year,Price,Type,Area
2023,800 ,Room for Rent , Sengkang
2023,1400 ,Room for Rent , Changi
2023,2000 ,Room for Rent , Orchard
2023,4000 ,Whole Unit , Novena
2023,2500 ,Room for Rent , Farrer Park
2023,2800 ,Whole Unit , Farrer Park
2023,1100 ,Room for Rent , Kallang
2023,1100 ,Room for Rent , Yishun
2023,950 ,Room for Rent , Serangoon
2023,800 ,Room for Rent , Woodlands
2023,2600 ,Room for Rent , River Valley
2023,3300 ,Room for Rent , CBD
2023,1950 ,Room for Rent , Tanjong Pagar
2023,1900 ,Room for Rent , CBD
2023,9999 ,Whole Unit , Bukit Timah
2023,900 ,Room for Rent , Jurong West
2023,9999 ,Whole Unit , Sentosa
2023,9999 ,Whole Unit , CBD
2023,9999 ,Whole Unit , Bukit Timah
2023,9999 ,Whole Unit , CBD
2023,1200 ,Room for Rent , Tiong Bahru
2023,1200 ,Room for Rent , Tanjong Pagar
2023,1200 ,Room for Rent , CBD
2023,700 ,Room for Rent , Hougang
2023,750 ,Room for Rent , Bukit Batok
2023,1000 ,Room for Rent , Ang Mo Kio
2023,1000 ,Room for Rent , Ang Mo Kio
2023,800 ,Room for Rent , Jurong East
2023,600 ,Room for Rent , Jurong East
2023,1000 ,Room for Rent , Choa Chu Kang
2023,1600 ,Room for Rent , Woodlands
2023,2800 ,Whole Unit , Siglap
2023,400 ,Room for Rent , Clementi
2023,1000 ,Room for Rent , Boon Lay
2023,700 ,Room for Rent , Bedok
2023,1900 ,Room for Rent , River Valley
2023,800 ,Room for Rent , Kallang
2023,1300 ,Room for Rent , Kallang
2023,1500 ,Room for Rent , Orchard
2023,1400 ,Room for Rent , Serangoon
2023,750 ,Room for Rent , Marsiling
2023,1300 ,Room for Rent , Marsiling
2023,1000 ,Room for Rent , Hougang
2023,1350 ,Room for Rent , Punggol
2023,1000 ,Room for Rent , Jurong West
2023,1000 ,Room for Rent , Choa Chu Kang
2023,1100 ,Room for Rent , Geylang
2023,800 ,Room for Rent , Woodlands
2023,1400 ,Room for Rent , Toa Payoh
2023,900 ,Room for Rent , Hougang
2023,2400 ,Whole Unit , Ang Mo Kio
2023,1100 ,Room for Rent , Yishun
2023,1000 ,Room for Rent , Katong
2023,1200 ,Room for Rent , Bukit Batok
2023,3150 ,Whole Unit , Toa Payoh
2023,780 ,Room for Rent , Woodlands
2023,1400 ,Room for Rent , Ang Mo Kio
2023,750 ,Room for Rent , Tiong Bahru
2023,580 ,Room for Rent , Pasir Ris
2023,1100 ,Room for Rent , Serangoon
2023,9999 ,Whole Unit , CBD
2023,6500 ,Whole Unit , CBD
2023,6000 ,Whole Unit , Changi
2023,9999 ,Whole Unit , CBD
2023,9999 ,Whole Unit , Bukit Timah
2023,9999 ,Whole Unit , CBD
2023,9999 ,Whole Unit , CBD
2023,9999 ,Whole Unit , CBD
2023,9999 ,Whole Unit , CBD
2023,1000 ,Room for Rent , Ang Mo Kio
2023,3500 ,Whole Unit , Bukit Merah
2023,1200 ,Room for Rent , Bukit Panjang
2023,1600 ,Room for Rent , Queenstown
2023,3000 ,Whole Unit , Geylang
2023,1300 ,Room for Rent , Hougang
2023,1200 ,Room for Rent , Paya Lebar
2023,900 ,Room for Rent , Jurong East
2023,1100 ,Room for Rent , Serangoon
2023,500 ,Room for Rent , Serangoon
2023,1200 ,Room for Rent , Chinatown
2023,1200 ,Room for Rent , CBD
2023,1200 ,Room for Rent , Tanjong Pagar
2023,1000 ,Room for Rent , Choa Chu Kang
2023,1300 ,Room for Rent , Bukit Batok
2023,800 ,Room for Rent , Tuas
2023,800 ,Room for Rent , Jurong West
2023,800 ,Room for Rent , Boon Lay
2023,1600 ,Room for Rent , Bedok
2023,900 ,Room for Rent , Pasir Ris
2023,1100 ,Room for Rent , Woodlands
2023,2200 ,Room for Rent , Potong Pasir
2023,1600 ,Room for Rent , Potong Pasir
2023,950 ,Room for Rent , Bedok
2023,2000 ,Room for Rent , Serangoon
2023,5000 ,Whole Unit , Potong Pasir
2023,4200 ,Whole Unit , Queenstown
2023,850 ,Room for Rent , Woodlands
2023,1400 ,Room for Rent , Toa Payoh
2023,1000 ,Room for Rent , Jurong West
2023,1020 ,Room for Rent , Bedok
2023,1000 ,Room for Rent , Punggol
2023,1200 ,Room for Rent , Kallang
2023,600 ,Room for Rent , Sembawang
2023,850 ,Room for Rent , Ang Mo Kio
2023,1800 ,Room for Rent , Paya Lebar
2023,950 ,Room for Rent , Hougang
2023,1200 ,Room for Rent , Paya Lebar
2023,1700 ,Room for Rent , Bukit Timah
2023,1100 ,Room for Rent , Jurong East
2023,1000 ,Room for Rent , Serangoon
2023,800 ,Room for Rent , Woodlands
2023,550 ,Room for Rent , Toa Payoh
2023,800 ,Room for Rent , Sengkang
2023,1900 ,Room for Rent , Boon Lay
2023,900 ,Room for Rent , Serangoon
2023,800 ,Room for Rent , Ang Mo Kio
2023,1200 ,Room for Rent , Serangoon
2023,1400 ,Room for Rent , Toa Payoh
2023,900 ,Room for Rent , Tampines
2023,2900 ,Room for Rent , Novena
2023,1100 ,Room for Rent , Choa Chu Kang
2023,750 ,Room for Rent , Woodlands
2023,1000 ,Room for Rent , Woodlands
2023,1100 ,Room for Rent , Bukit Batok
2023,950 ,Room for Rent , Jurong West
2023,950 ,Room for Rent , Boon Lay
2023,2400 ,Whole Unit , Bukit Merah
2023,800 ,Room for Rent , Punggol
2023,700 ,Room for Rent , Ang Mo Kio
2023,700 ,Room for Rent , Hougang
2023,1950 ,Room for Rent , CBD
2023,1900 ,Room for Rent , CBD
2023,9999 ,Whole Unit , CBD
2023,9999 ,Whole Unit , Bukit Timah
2023,9999 ,Whole Unit , CBD
2023,9999 ,Whole Unit , Bukit Timah
2023,9999 ,Whole Unit , CBD
2023,9999 ,Whole Unit , Sentosa
2023,6500 ,Whole Unit , CBD
2023,6000 ,Whole Unit , Changi
2023,600 ,Room for Rent , Jurong East
2023,1000 ,Room for Rent , Ang Mo Kio
2023,750 ,Room for Rent , Jurong West
2023,1000 ,Room for Rent , Ang Mo Kio
2023,1300 ,Room for Rent , Bedok
2023,900 ,Room for Rent , Sengkang
2023,550 ,Room for Rent , Jurong West
2023,1700 ,Room for Rent , Katong
2023,900 ,Room for Rent , Boon Lay
2023,4400 ,Whole Unit , Choa Chu Kang
2023,1900 ,Whole Unit , Bedok
2023,1000 ,Room for Rent , Ang Mo Kio
2023,1000 ,Room for Rent , Ang Mo Kio
2023,850 ,Room for Rent , Bukit Batok
2023,900 ,Room for Rent , Rochor
2023,800 ,Room for Rent , Bukit Panjang
2023,1500 ,Room for Rent , Pasir Ris
2023,1450 ,Room for Rent , Pasir Ris
2023,2600 ,Room for Rent , CBD
2023,3300 ,Room for Rent , CBD
2023,2400 ,Room for Rent , Orchard
2023,1900 ,Room for Rent , Orchard
2023,1900 ,Room for Rent , Orchard
2023,700 ,Room for Rent , Punggol
2023,500 ,Room for Rent , Ang Mo Kio
2023,700 ,Room for Rent , Punggol
2023,1300 ,Room for Rent , Balestier
2023,1000 ,Room for Rent , Yishun
2023,1250 ,Room for Rent , Bukit Batok
2023,750 ,Room for Rent , Ang Mo Kio
2023,1200 ,Room for Rent , Yishun
2023,950 ,Room for Rent , Jurong West
2023,950 ,Room for Rent , Boon Lay
2023,1250 ,Room for Rent , Bugis
2023,1500 ,Room for Rent , Jurong East
