Year,Town,Flat_Type,Price
2017,ANG MO KIO,2 ROOM,232869.5652173913
2017,ANG MO KIO,3 ROOM,315994.4030710173
2017,ANG MO KIO,4 ROOM,494595.596
2017,ANG MO KIO,5 ROOM,697567.5683453238
2017,ANG MO KIO,EXECUTIVE,821000.0
2017,BEDOK,2 ROOM,235555.55555555556
2017,BEDOK,3 ROOM,306876.390593047
2017,BEDOK,4 ROOM,443213.2236503856
2017,BEDOK,5 ROOM,579024.0343137255
2017,BEDOK,EXECUTIVE,725935.649122807
2017,BISHAN,3 ROOM,364453.488372093
2017,BISHAN,4 ROOM,574538.5943396227
2017,BISHAN,5 ROOM,797099.4238410596
2017,BISHAN,EXECUTIVE,905025.641025641
2017,BISHAN,MULTI-GENERATION,910000.0
2017,BUKIT BATOK,3 ROOM,274558.7428571429
2017,BUKIT BATOK,4 ROOM,397495.6388888889
2017,BUKIT BATOK,5 ROOM,545912.4
2017,BUKIT BATOK,EXECUTIVE,656262.037735849
2017,BUKIT MERAH,1 ROOM,200888.88888888888
2017,BUKIT MERAH,2 ROOM,260890.81818181818
2017,BUKIT MERAH,3 ROOM,403671.4095238095
2017,BUKIT MERAH,4 ROOM,653573.2158730159
2017,BUKIT MERAH,5 ROOM,758250.1719047619
2017,BUKIT PANJANG,3 ROOM,284888.38356164383
2017,BUKIT PANJANG,4 ROOM,384936.72360248445
2017,BUKIT PANJANG,5 ROOM,484529.4857142857
2017,BUKIT PANJANG,EXECUTIVE,591461.6629213484
2017,BUKIT TIMAH,3 ROOM,412083.3333333333
2017,BUKIT TIMAH,4 ROOM,648798.8571428572
2017,BUKIT TIMAH,5 ROOM,821363.6363636364
2017,BUKIT TIMAH,EXECUTIVE,932196.3076923077
2017,CENTRAL AREA,2 ROOM,254000.0
2017,CENTRAL AREA,3 ROOM,421540.35443037975
2017,CENTRAL AREA,4 ROOM,752702.647887324
2017,CENTRAL AREA,5 ROOM,949958.7777777778
2017,CHOA CHU KANG,2 ROOM,246666.66666666666
2017,CHOA CHU KANG,3 ROOM,278373.724137931
2017,CHOA CHU KANG,4 ROOM,350691.5051546392
2017,CHOA CHU KANG,5 ROOM,417962.1377952756
2017,CHOA CHU KANG,EXECUTIVE,535577.7425742574
2017,CLEMENTI,2 ROOM,340000.0
2017,CLEMENTI,3 ROOM,346527.5366972477
2017,CLEMENTI,4 ROOM,561184.0
2017,CLEMENTI,5 ROOM,741700.0
2017,CLEMENTI,EXECUTIVE,831428.5714285715
2017,GEYLANG,2 ROOM,216681.81818181818
2017,GEYLANG,3 ROOM,292172.66909090907
2017,GEYLANG,4 ROOM,512466.2034883721
2017,GEYLANG,5 ROOM,669200.8205128205
2017,GEYLANG,EXECUTIVE,774194.4
2017,HOUGANG,2 ROOM,250000.0
2017,HOUGANG,3 ROOM,291306.76
2017,HOUGANG,4 ROOM,390173.0948292683
2017,HOUGANG,5 ROOM,494923.5
2017,HOUGANG,EXECUTIVE,663968.3076923077
2017,JURONG EAST,2 ROOM,237500.0
2017,JURONG EAST,3 ROOM,292722.2696629214
2017,JURONG EAST,4 ROOM,422516.40579710144
2017,JURONG EAST,5 ROOM,536438.0194174757
2017,JURONG EAST,EXECUTIVE,696820.4705882353
2017,JURONG WEST,2 ROOM,224000.0
2017,JURONG WEST,3 ROOM,269680.76051779935
2017,JURONG WEST,4 ROOM,373512.14024390245
2017,JURONG WEST,5 ROOM,455544.8816293279
2017,JURONG WEST,EXECUTIVE,557341.6258064517
2017,KALLANG/WHAMPOA,2 ROOM,251727.27272727274
2017,KALLANG/WHAMPOA,3 ROOM,337980.29194630875
2017,KALLANG/WHAMPOA,4 ROOM,552957.1461187215
2017,KALLANG/WHAMPOA,5 ROOM,730065.1428571428
2017,KALLANG/WHAMPOA,EXECUTIVE,799812.5
2017,MARINE PARADE,2 ROOM,238000.0
2017,MARINE PARADE,3 ROOM,405008.4137931034
2017,MARINE PARADE,4 ROOM,520853.65853658534
2017,MARINE PARADE,5 ROOM,836791.6666666666
2017,PASIR RIS,3 ROOM,296833.3333333333
2017,PASIR RIS,4 ROOM,404832.29752066114
2017,PASIR RIS,5 ROOM,475300.30046948354
2017,PASIR RIS,EXECUTIVE,613460.8666666667
2017,PUNGGOL,2 ROOM,264136.36363636365
2017,PUNGGOL,3 ROOM,359440.5689655172
2017,PUNGGOL,4 ROOM,444900.24097938143
2017,PUNGGOL,5 ROOM,470816.52255707764
2017,PUNGGOL,EXECUTIVE,550031.8787878788
2017,QUEENSTOWN,2 ROOM,233187.5
2017,QUEENSTOWN,3 ROOM,382747.7878838174
2017,QUEENSTOWN,4 ROOM,685353.4782608695
2017,QUEENSTOWN,5 ROOM,835707.4303797468
2017,QUEENSTOWN,EXECUTIVE,971142.8571428572
2017,SEMBAWANG,2 ROOM,225000.0
2017,SEMBAWANG,4 ROOM,348198.5282258064
2017,SEMBAWANG,5 ROOM,410009.30481283425
2017,SEMBAWANG,EXECUTIVE,478684.07954545453
2017,SENGKANG,2 ROOM,263662.93333333335
2017,SENGKANG,3 ROOM,348129.03225806454
2017,SENGKANG,4 ROOM,415254.1540436457
2017,SENGKANG,5 ROOM,444648.1945525292
2017,SENGKANG,EXECUTIVE,550778.4228187919
2017,SERANGOON,3 ROOM,321426.76
2017,SERANGOON,4 ROOM,461939.9378238342
2017,SERANGOON,5 ROOM,567259.5223880596
2017,SERANGOON,EXECUTIVE,732117.3857142857
2017,TAMPINES,2 ROOM,250000.0
2017,TAMPINES,3 ROOM,328320.65185185184
2017,TAMPINES,4 ROOM,438111.4843137255
2017,TAMPINES,5 ROOM,553607.8319559229
2017,TAMPINES,EXECUTIVE,662849.7712418301
2017,TAMPINES,MULTI-GENERATION,830000.0
2017,TOA PAYOH,2 ROOM,216478.14285714287
2017,TOA PAYOH,3 ROOM,318334.85714285716
