Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Leased_Used,Num_Bed,Num_Toilet
ANG MO KIO,HDB 2 ROOM,509,Ang Mo Kio Ave 8,,509 Ang Mo Kio Ave 8,103.85014085275887,1.3739995999999999,50,75,468000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b9 ,,,
ANG MO KIO,HDB 3 ROOM,539,Ang Mo Kio Ave 10,,539 Ang Mo Kio Ave 10,103.85426015305119,1.37538595,75,75,468000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b10,,,
ANG MO KIO,HDB 4 ROOM,565,Ang Mo Kio Ave 3,,565 Ang Mo Kio Ave 3,103.85841919318977,1.36959125,95,75,468000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b11,,,
ANG MO KIO,HDB 5 ROOM,207,Ang Mo Kio Ave 1,,207 Ang Mo Kio Ave 1,103.84288471885537,1.3658312000000001,115,75,600000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b12,,,
ANG MO KIO,HDB EXECUTIVE,171,Ang Mo Kio Ave 4,,171 Ang Mo Kio Ave 4,103.838387,1.3826079,155,75,600000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b13,,,
CHOA CHU KANG,HDB 2 ROOM,217,Choa Chu Kang Central,,217 Choa Chu Kang Central,103.74637005480943,1.3832,50,75,600000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b14,,,
CHOA CHU KANG,HDB 3 ROOM,412,Choa Chu Kang Ave 3,,412 Choa Chu Kang Ave 3,103.7421019293336,1.3816301,75,75,738000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b15,,,
CHOA CHU KANG,HDB 4 ROOM,505,Choa Chu Kang Street 51,,505 Choa Chu Kang Street 51,103.742431,1.389497,95,75,738000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b16,,,
CHOA CHU KANG,HDB 5 ROOM,543,Choa Chu Kang Street 52,,543 Choa Chu Kang Street 52,103.7454848,1.3960629,115,75,738000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b17,,,
CHOA CHU KANG,HDB EXECUTIVE,767,Choa Chu Kang Street 54,,767 Choa Chu Kang Street 54,103.7502777,1.3955363,155,75,1380000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b18,,,
BEDOK,HDB 2 ROOM,33,Bedok South Ave 2,,33 Bedok South Ave 2,103.93905107774586,1.3228103999999998,50,75,1380000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b19,,,
BEDOK,HDB 3 ROOM,415,Bedok North Ave 2,,415 Bedok North Ave 2,103.93024790000001,1.32963155,75,75,1380000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b20,,,
BEDOK,HDB 4 ROOM,138,Bedok North Street 2,,138 Bedok North Street 2,103.93609535446964,1.32946495,95,75,518000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b21,,,
BEDOK,HDB 5 ROOM,188A ,Bedok North Street 4,,188A Bedok North Street 4,103.94139645432409,1.33158995,115,75,518000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b22,,,
BEDOK,HDB EXECUTIVE,77,Bedok North Rd,,77 Bedok North Rd,103.94196030658946,1.328667,155,75,588000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b23,,,
BUKIT MERAH,HDB 2 ROOM,131B ,Kim Tian Rd,,131B Kim Tian Rd,103.82836302704592,1.2809001,50,75,588000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b24,,,
BUKIT MERAH,HDB 3 ROOM,126,Bukit Merah View,,126 Bukit Merah View,103.82398219677506,1.2844210999999999,75,75,588000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b25,,,
BUKIT MERAH,HDB 4 ROOM,108,Jalan Bukit Merah,,108 Jalan Bukit Merah,103.82568635907302,1.27913545,95,75,628000,https://www.99.co/singapore/sale/property/322-ang-mo-kio-avenue-3-hdb-NKg5zvNof6ejggaZKHn4b26,,,
