,Coordinates,FairpricePoints,HosPoints,MallPoints,MRTPoints,ParksPoints,PriSchPoints,SecSchPoints,TertairyPoints,UniPoints,Total_Points
0,"1.2736569, 103.806568",0.009009089854197603,0.07682320563804554,0.0,0.013652911927304365,0.0,0.010142157654523773,0.0,0.0,0.0,0.10061827521987367
1,"1.2738632, 103.8390254",0.004164890038852866,0.07569161835809415,0.0,0.0,0.0,0.01686285398829428,0.0,0.0,0.0,0.09255447234638843
2,"1.2744195, 103.8397293",0.0051982302133220405,0.11576146499473022,0.004517243212856505,0.0,0.0,0.025626428352692653,0.0,0.0,0.0,0.14590513656027937
3,"1.274708, 103.840528",0.006888403631223198,0.1458812092004698,0.005660442727979578,0.0,0.0,0.02815398756938969,0.0,0.0,0.0,0.17969563949783907
4,"1.27531455, 103.8392052",0.004738641071731558,0.13059338418444028,0.0,0.0,0.0,0.042507308150514,0.0,0.0,0.0,0.1731006923349543
5,"1.27556565, 103.8413075",0.021345220302517856,0.3904216658963645,0.02214318039990458,0.0,0.0,0.049949982587872144,0.0,0.0,0.0,0.46251482888414125
6,"1.2758331, 103.8390179",0.004515814483204726,0.1458739789023046,0.0,0.0,0.0,0.041324873422410875,0.0,0.0,0.0,0.18719885232471548
7,"1.2759757, 103.8412094",0.01966983742241112,0.40008812009398376,0.02090162501519171,0.0,0.0,0.054073779506713375,0.0,0.0,0.0,0.47506352461588885
8,"1.2766102, 103.8411596",0.01706888001299541,0.4417048839029148,0.019483500358723843,0.0,0.0,0.04797700015781301,0.0,0.0,0.0,0.5091653844194517
9,"1.2769187, 103.841496",0.017856532463375336,0.41662622569140306,0.02038735239584273,0.01256719122356901,0.0,0.03689274368696224,0.0,0.0,0.0,0.4864735129977771
10,"1.27743925, 103.8416672",0.015699839512156213,0.3598983384036632,0.019803399768555597,0.025835021175472844,0.0,0.029865223505671674,0.0,0.0,0.0,0.4354019828533633
11,"1.27779165, 103.8414036",0.013171020366703659,0.3498927964834625,0.01792291110249942,0.02590940468547468,0.0,0.028882456921892674,0.0,0.0,0.0,0.4226075691933293
12,"1.2778303, 103.8409528",0.011816113753241667,0.3716786467143458,0.008543260348894391,0.025808711308233652,0.0,0.03155926035385243,0.0,0.0,0.0,0.4375898787253263
13,"1.2810987, 103.8299525",0.006579790098868286,0.04626599954886901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04626599954886901
14,"1.28262025, 103.8282446",0.006503041309505199,0.13222707911101061,0.00494423118926608,0.007287769352071861,0.0,0.013286851492727387,0.0,0.0,0.0,0.15774593114507593
15,"1.28286315, 103.8295469",0.005041910099801609,0.12994103102859172,0.004811168503070965,0.006665380856321062,0.0,0.009640797297100255,0.0,0.0,0.0,0.15105837768508404
16,"1.28293415, 103.8280155",0.005959493386352329,0.13858846204378655,0.005428926637636209,0.008077980033207472,0.0,0.015384254945690625,0.0,0.0,0.0,0.16747962366032088
17,"1.28300305, 103.827322",0.005917663007954831,0.14778285329802868,0.005442000145402102,0.008490376383469623,0.0,0.020460233651427923,0.0,0.0,0.0,0.18217546347832833
18,"1.28340775, 103.8288892",0.004829417822877598,0.13919828979121965,0.006019286403024451,0.008346508027295826,0.0,0.012276743861020128,0.0,0.0,0.0,0.16584082808256007
19,"1.28348045, 103.8270924",0.0050908443079202975,0.15863853587528073,0.006206423976300995,0.00998483042999181,0.0021412609678878956,0.028329980407854314,0.0,0.0,0.0,0.20530103165731575
20,"1.28349635, 103.8260458",0.004728988582669445,0.15599434670793588,0.00537117950648683,0.009206281737225014,0.0024185450683685307,0.04769583114322129,0.0,0.0,0.0,0.22068618416323754
21,"1.2836184, 103.8282827",0.00480638251519074,0.14902129615240936,0.0067913239197595465,0.009738170644075436,0.0,0.015715375764260152,0.0,0.0,0.0,0.1812661664805045
22,"1.2855981, 103.8256617",0.004116264060620629,0.1747389469820779,0.007543888082889724,0.01617830198724084,0.0054655351752098714,0.025470670752784707,0.008297164906678381,0.0,0.0,0.2376945078868814
23,"1.285634, 103.8260893",0.004235249643880752,0.23712503257803266,0.009154314012889008,0.02141702948087433,0.004788360993818801,0.025985949955994497,0.0,0.0,0.0,0.29847068702160934
24,"1.28680895, 103.8119242",0.009912598394318684,0.02078176774044383,0.0,0.0,0.0,0.010769467327680216,0.025522046879596624,0.0,0.0,0.05707328194772067
25,"1.28798455, 103.816749",0.012560777357396937,0.08808436911925033,0.0,0.016216118068401612,0.0,0.013531088860400543,0.008447976243099646,0.0,0.0,0.12627955229115212
26,"1.2880105, 103.816317",0.01692031684773128,0.10977761256859775,0.0,0.015883882783586645,0.0,0.014725202433878848,0.009224645910626583,0.0,0.0,0.14961134369668982
27,"1.288482, 103.8159517",0.015223650769493998,0.39173180288119214,0.0,0.018956829943010334,0.0,0.013159335709422897,0.009249997165006513,0.0,0.0,0.4330979656986319
28,"1.2887526, 103.8168068",0.00939911866320587,0.0962952936993183,0.0,0.030096009494138484,0.0,0.010802280389579056,0.0,0.0,0.0,0.13719358358303585
29,"1.2892428, 103.8155442",0.009852745178788768,0.0,0.0,0.020936841790093315,0.0,0.010599623206217981,0.008630267731587716,0.0,0.0,0.040166732727899015
30,"1.2893554, 103.8293362",0.006866935075821515,0.1298447045169702,0.005288674625308718,0.013748961309424807,0.0,0.0,0.0,0.0,0.0,0.1488823404517037
31,"1.28939675, 103.8289208",0.008162283753706768,0.18256880438526413,0.005459961612610608,0.013489768288404782,0.0,0.0,0.0,0.0,0.0,0.20151853428627953
32,"1.28970785, 103.8152855",0.007847961676242783,0.13019907978221396,0.0,0.01819231292427463,0.0,0.009375799632056927,0.025636522771634813,0.0,0.0,0.18340371511018033
33,"1.2900801, 103.8293057",0.0070305206649326395,0.09930015116335736,0.004426061886496903,0.01284932239180877,0.0,0.0,0.0,0.0,0.0,0.11657553544166302
34,"1.2901179, 103.8289816",0.01605423641395233,0.21657551539275738,0.00898303634044657,0.02499490748024584,0.0,0.0,0.0,0.0,0.0,0.2505534592134498
35,"1.2922214, 103.8149705",0.004892734313832312,0.03902507527335902,0.0,0.008596584884391092,0.0,0.0,0.046571802338422646,0.0,0.0,0.09419346249617276
36,"1.2931142, 103.8113931",0.03070464801992248,0.0767616200498062,0.0,0.0,0.0,0.0,0.03845360865462769,0.0,0.0,0.1152152287044339
37,"1.2933132, 103.8082566",0.005715052162523079,0.014287630406307698,0.0,0.01012791093811318,0.0,0.013102927256863156,0.0,0.0,0.0,0.037518468601284036
38,"1.2938117, 103.8078122",0.004835397364658686,0.012088493411646715,0.0,0.013260079135224343,0.0,0.016240159738788864,0.0,0.0,0.0,0.04158873228565992
39,"1.29384705, 103.808765",0.006289017408398572,0.01572254352099643,0.0,0.009267218448857832,0.0,0.015189918678365598,0.0,0.0,0.0,0.040179680648219855
40,"1.2939101, 103.8045221",0.005375790957558558,0.021905049773136603,0.0,0.01628800292970444,0.0,0.009145243647807695,0.0,0.0,0.0,0.047338296350648734
41,"1.29401925, 103.8082246",0.005258671574377874,0.013146678935944685,0.0,0.011508565008239428,0.0,0.01759816386206951,0.0,0.0,0.0,0.042253407806253626
42,"1.2943763, 103.8044831",0.004788595098987006,0.019292051050364686,0.0,0.017628577984958222,0.0,0.00962224983726796,0.0,0.0,0.0,0.04654287887259087
43,"1.29438085, 103.8114222",0.0097242271399889,0.024310567849972247,0.0,0.0,0.0,0.009123929744851803,0.033718245041471695,0.0,0.0,0.06715274263629575
44,"1.29469995, 103.8092269",0.005991599503187024,0.01497899875796756,0.0,0.008311219091995042,0.0,0.018735181580438718,0.016856658111556615,0.0,0.0,0.05888205754195793
45,"1.2947919, 103.8082497",0.004733993380004846,0.011834983450012115,0.0,0.01187906151780341,0.0,0.0276429624328634,0.0,0.0,0.0,0.05135700740067893
46,"1.29486925, 103.8049262",0.00410132568014662,0.015022578832424546,0.0,0.025276508482490447,0.0,0.011481381115791235,0.0,0.0,0.0,0.05178046843070623
47,"1.2949669, 103.803498",0.004395670067561514,0.019096259407435347,0.0,0.01080969412803006,0.0,0.008053189773660893,0.0,0.0,0.0,0.0379591433091263
48,"1.2950553, 103.8115993",0.014177019355526111,0.035442548388815276,0.0,0.0,0.0,0.018527084232057327,0.0594329415404086,0.0,0.0,0.11340257416128122
49,"1.2951394, 103.8111487",0.013785920651864974,0.03446480162966244,0.0,0.0,0.0,0.0209986056922858,0.05132078608262015,0.0,0.0,0.10678419340456838
50,"1.29535175, 103.8125908",0.011620471835921199,0.029051179589802998,0.0,0.0,0.0,0.0,0.06640953169795924,0.0,0.0,0.09546071128776223
51,"1.29540805, 103.8121926",0.011964524345435709,0.029911310863589273,0.0,0.0,0.0,0.016363521221255402,0.06070619972274077,0.0,0.0,0.10698103180758545
52,"1.2954712, 103.8117891",0.012088772831024362,0.030221932077560902,0.0,0.0,0.0,0.018038521016740843,0.054736831908015,0.0,0.0,0.10299728500231675
53,"1.2957434, 103.8104374",0.010821373536949388,0.02705343384237347,0.0,0.0,0.0,0.02752719461419896,0.038507824158151314,0.0,0.0,0.09308845261472375
54,"1.29587985, 103.8094605",0.004707837750606937,0.011769594376517343,0.0,0.0073410465645855315,0.0,0.022093478974937113,0.0,0.0,0.0,0.04120411991603999
