,Coordinates,FairpricePoints,HosPoints,MallPoints,MRTPoints,ParksPoints,PriSchPoints,SecSchPoints,TertairyPoints,UniPoints,Area,Location_Type,Link,floor_area_sqm,remaining_lease,Sale_Price,Location,Lease_Points,SQM_Points,Total_Points,History_Avg_Point,Percent
0,"1.2721958, 103.8248619",0.002194847198188501,0.053614261897783254,0.0022301059532680353,0.003556669352441683,0.0015866009202149293,0.02103052082843749,0.007595549964472087,0.0,0.0,BUKIT PURMEI,HDB 5 ROOM,https://www.srx.com.sg/listings/100248721/for-sale-bukit-purmei-road-bukit-purmei-road,61,130,628000,BUKIT MERAH,0.05,0.02,0.16180855611480596,0.8171808554209762,9.90041280589284
1,"1.2730231, 103.8260685",0.002539562553640598,0.06380268437342268,0.0,0.003007395585689824,0.0012924919134739983,0.02647730299706584,0.007294174596541909,0.0,0.0,BUKIT PURMEI,HDB 5 ROOM,https://www.99.co/singapore/sale/property/114-bukit-purmei-road-hdb-6W2AzfMRLf5Vdqsa79P3xb,61,130,1000000,BUKIT MERAH,0.05,0.02,0.17441361201983485,0.8171808554209762,10.671665327376308
2,"1.273108, 103.81020433510271",0.01271677727002955,0.1109817824436223,0.0,0.016272798733029593,0.0015740209551931238,0.010047516586100251,0.0,0.0,0.0,TELOK BLANGAH,HDB 4 ROOM,https://www.srx.com.sg/listings/100057591/for-sale-telok-blangah-drive-telok-blangah-drive,54,98,520000,BUKIT MERAH,0.05,0.02,0.22159289598797485,0.3079065032512523,35.98379599783163
3,"1.27359385, 103.81204234243569",0.007477649737804052,0.07520573652633558,0.0,0.0077456491792919115,0.0028957031192993503,0.008397715746610558,0.0,0.0,0.0,TELOK BLANGAH,HDB 4 ROOM,https://www.srx.com.sg/listings/99683031/for-sale-telok-blangah-drive-telok-blangah-drive,54,98,980000,BUKIT MERAH,0.05,0.02,0.17172245430934144,0.3079065032512523,27.88548674615287
4,"1.27387105, 103.8394329424888",0.0045601883597670674,0.1489848676215363,0.006779793922096506,0.010686611847587249,0.0011398473832669627,0.01802438912334606,0.0,0.0,0.0,CANTONMENT CLOSE,HDB 4 ROOM,https://www.99.co/singapore/sale/property/18-cantonment-close-hdb-i3sYRKzV2mLjhE5UZhHR53,78,89,835000,CENTRAL AREA,0.05,0.025,0.2651756982576002,10.224003917150805,1.2968290134003517
5,"1.27388335, 103.82533927474063",0.0027913599403738215,1780.6519413164033,0.0,0.0,0.0013942422348692017,0.033240753420496774,0.009397332382510304,0.0,0.0,BUKIT PURMEI,HDB 3 ROOM,https://www.srx.com.sg/listings/100239161/for-sale-bukit-purmei-road-bukit-purmei-road,60,74,580000,BUKIT MERAH,0.035,0.02,1780.7537650043816,0.0,0.0
6,"1.27397095, 103.8122757391163",0.00722180072643311,0.07152779082379113,0.0,0.0068827038628015745,0.003015105419235434,0.008494555819607934,0.0,0.0,0.0,TELOK BLANGAH,HDB 4 ROOM,https://www.srx.com.sg/listings/100393291/for-sale-telok-blangah-drive-well-maintained-flat-ideal-for-couples-and-familie,54,98,999000,BUKIT MERAH,0.05,0.02,0.16714195665186918,0.3079065032512523,27.14167367154974
7,"1.2740924, 103.83675847530893",0.00280774094134392,0.08556635261378533,0.0025815335900767193,0.003482168261137412,0.0,0.014197318123686069,0.0,0.0,0.0,SPOTTISWOODE PARK,HDB 5 ROOM,https://www.srx.com.sg/listings/100465251/for-sale-spottiswoode-park-road-spottiswoode-park-road,55,121,650000,BUKIT MERAH,0.05,0.02,0.17863511353002945,0.8171808554209762,10.929961975063915
8,"1.274474, 103.84009950580077",0.005813758559812699,0.19452153850149026,0.008003228358060742,0.011880051978485968,0.0012740074982611229,0.026514651035644755,0.0,0.0,0.0,CANTONMENT CLOSE,HDB 4 ROOM,https://www.99.co/singapore/sale/property/12-cantonment-close-hdb-CRHRJJZYZPepLywTKkjB6q,79,74,850000,CENTRAL AREA,0.035,0.025,0.3080072359317556,10.224003917150805,1.506294590786846
9,"1.274708, 103.84052804252133",0.006888509487287334,0.21810696656865222,0.008949531007028683,0.012569722989263746,0.0013669140774603761,0.028153518784815895,0.0,0.0,0.0,CANTONMENT TOWERS,HDB 3 ROOM,https://www.srx.com.sg/listings/100306941/for-sale-cantonment-towers-cantonment-close,79,60,325000,CENTRAL AREA,0.03,0.025,0.3310351629145083,0.0,0.0
