Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
Admiralty MRT,MRT,70,Woodlands Avenue 7,738344,70 Woodlands Avenue 7 S 738344,,
Aljunied MRT ,MRT ,81,Lorong 25 Geylang ,388310,81 Lorong 25 Geylang  S 388310,,
Ang Mo Kio MRT ,MRT ,2450,Ang Mo Kio Avenue 8 ,569811,2450 Ang Mo Kio Avenue 8  S 569811,,
Bartley  MRT ,MRT ,90,Bartley Road ,539788,90 Bartley Road  S 539788,,
Bayfront MRT ,MRT,11,Bayfront Avenue ,18957,11 Bayfront Avenue  S 018957,,
Beauty World MRT,MRT ,101,Upper Bukit Timah Road,588216,101 Upper Bukit Timah Road S 588216,,
Bedok MRT,MRT ,315,New Upper Changi Road,467347,315 New Upper Changi Road S 467347,,
Bedok North MRT,MRT ,651,Bedok North Road ,479481,651 Bedok North Road  S 479481,,
Bedok Reservoir MRT,MRT,371,Bedok North Avenue 3,469724,371 Bedok North Avenue 3 S 469724,,
Bencoolen MRT,MRT ,31,Bencoolen Street,189658,31 Bencoolen Street S 189658,,
Bendemeer MRT,MRT ,11,Kallang Bahru,339356,11 Kallang Bahru S 339356,,
Bishan MRT,MRT ,200,Bishan Road,579827,200 Bishan Road S 579827,,
Boon Lay MRT,MRT,301,Boon Lay Way,649846,301 Boon Lay Way S 649846,,
Botanic Gardens MRT,MRT ,100,Cluny Park Road,257494,100 Cluny Park Road S 257494,,
Braddell MRT,MRT ,377,Lorong 1 Toa Payoh,319756,377 Lorong 1 Toa Payoh S 319756,,
Bras Basah MRT,MRT ,65,Bras Basah Road,189561,65 Bras Basah Road S 189561,,
Bright Hill MRT,MRT,100,Sin Ming Avenue,575737,100 Sin Ming Avenue S 575737,,
Buangkok MRT,MRT ,10,Sengkang Central,545061,10 Sengkang Central S 545061,,
Bugis MRT,MRT ,320,Victoria Street,188045,320 Victoria Street S 188045,,
Bukit Batok MRT,MRT ,10,Bukit Batok Central,659958,10 Bukit Batok Central S 659958,,
Bukit Gombak MRT,MRT ,802,Bukit Batok West Avenue 5,659083,802 Bukit Batok West Avenue 5 S 659083,,
Bukit Panjang MRT,MRT ,950,Upper Bukit Timah Road,678213,950 Upper Bukit Timah Road S 678213,,
Bouna Vista MRT,MRT ,100,North Bouna Vista Road,139345,100 North Bouna Vista Road S 139345,,
Caldecott MRT,MRT ,38,Toa Payoh Rise,298113,38 Toa Payoh Rise S 298113,,
Canberra MRT,MRT ,11,Canberra Link,756972,11 Canberra Link S 756972,,
Cashew MRT,MRT ,1,Cashew Road,679696,1 Cashew Road S 679696,,
Changi Airport MRT,MRT ,70,Airport Boulevard,819661,70 Airport Boulevard S 819661,,
Chinatown MRT,MRT ,151,New Bridge Road,59443,151 New Bridge Road S 059443,,
Chinese Garden MRT,MRT ,151,Boon Lay Way,609959,151 Boon Lay Way S 609959,,
Choa Chu Kang MRT,MRT ,10,Choa Chu Kang Avenue 4,689810,10 Choa Chu Kang Avenue 4 S 689810,,
City Hall MRT,MRT ,150,North Bridge Road,179100,150 North Bridge Road S 179100,,
Clarke Quay MRT,MRT ,10,Eu Tong Sen Street,59815,10 Eu Tong Sen Street S 059815,,
Clementi MRT,MRT ,3150,Commonwealth Avenue West,129580,3150 Commonwealth Avenue West S 129580,,
Commonwealth MRT,MRT ,375,Commonwealth Avenue,149735,375 Commonwealth Avenue S 149735,,
Dakota MRT,MRT ,201,Old Airport Road,397973,201 Old Airport Road S 397973,,
Dhoby Ghaut MRT,MRT ,11,Orchard Road,238826,11 Orchard Road S 238826,,
Dover MRT,MRT ,200,Commonwealth Avenue West,138677,200 Commonwealth Avenue West S 138677,,
