Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
Admiralty MRT,MRT,70,Woodlands Avenue 7,738344,70 Woodlands Avenue 7 S 738344,103.8009592,1.4406369
Aljunied MRT ,MRT ,81,Lorong 25 Geylang ,388310,81 Lorong 25 Geylang  S 388310,103.88290345,1.31643935
Ang Mo Kio MRT ,MRT ,2450,Ang Mo Kio Avenue 8 ,569811,2450 Ang Mo Kio Avenue 8  S 569811,103.8495228,1.3700803
Bartley  MRT ,MRT ,90,Bartley Road ,539788,90 Bartley Road  S 539788,103.87980017521383,1.3428228500000001
Bayfront MRT ,MRT,11,Bayfront Avenue ,18957,11 Bayfront Avenue  S 018957,103.8598035,1.2826842
Beauty World MRT,MRT ,101,Upper Bukit Timah Road,588216,101 Upper Bukit Timah Road S 588216,103.77576878049459,1.3411650499999999
Bedok MRT,MRT ,315,New Upper Changi Road,467347,315 New Upper Changi Road S 467347,103.930216,1.3239765
Bedok North MRT,MRT ,651,Bedok North Road ,479481,651 Bedok North Road  S 479481,103.91828105834635,1.3344768
Bedok Reservoir MRT,MRT,371,Bedok North Avenue 3,469724,371 Bedok North Avenue 3 S 469724,103.9330757,1.3378011
Bencoolen MRT,MRT ,31,Bencoolen Street,189658,31 Bencoolen Street S 189658,103.85022392746316,1.29872345
