Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
Jurong Central Park,Park,,Junction off Jalan Boon Lay & Boon Lay Way,609961,"Junction off Jalan Boon Lay & Boon Lay Way, Singapore 609961",103.7079,1.3378
Japanese Garden Park,Park,,1 Chinese Garden Rd,619795,"1 Chinese Garden Rd, Singapore 619795",103.7251254,1.33490866
HortPark - The Gardening Hub (Therapeutic Garden),Park,,33 Hyderabad Rd,119578,"33 Hyderabad Rd, Singapore 119578",103.7969,1.2796
Kranji Marshes Park,Park,,11 Neo Tiew Lane 2,718814,"11 Neo Tiew Lane 2, Singapore 718814",103.7205,1.4197
Upper Peirce Reservoir Park,Park,,Along Old Upper Thomson Road,,,103.8119,1.3731
Admiralty Park,Park,,6A Admiralty Rd,732006,"6A Admiralty Rd, Singapore 732006",103.7807,1.4466
Woodlands Waterfront Park,Park,,Admiralty Rd W,759956,"Admiralty Rd W, Singapore 759956",103.7805,1.4531
Pearl's Hill City Park,Park,,"Along Chin Swee Road, Pearl's Hill Rd",169879,"Along Chin Swee Road,and Pearl's Hill Rd, Singapore 169879",103.8401,1.285
Esplanade Park,Park,,Along Connaught Drive,179682,"Along Connaught Drive, Singapore 179682",103.8539,1.2899
Sengkang Riverside Park,Park,,Anchorvale Street,544834,"Anchorvale Street, Singapore 544834",103.8849,1.3993
Ang Mo Kio Town Garden West Park,Park,,"Opposite Ang Mo Kio Town Library, Ang Mo Kio Ave 6",567740,"Opposite Ang Mo Kio Town Library, Ang Mo Kio Ave 6, Singapore 567740",103.847735,1.3612
Bishan-Ang Mo Kio Park (Pond -Therapeutic Garden),Park,,1380 Ang Mo Kio Avenue 1,569930,"1380 Ang Mo Kio Avenue 1, Singapore 569930",103.8436,1.3634
Zhenghua Park,Park,,273 Bangkit Rd,670276,"273 Bangkit Rd, Singapore 670276",103.7764,1.3771
Bedok Reservoir Park,Park,,760 Bedok Reservoir Rd,479245,"760 Bedok Reservoir Rd, Singapore 479245",103.9245,1.3413
Bedok Town Park,Park,,Bedok North Ave 3,469724,"Bedok North Ave 3, Singapore 469724",103.9256,1.3354
Chinese Garden Park,Park,,Boon Lay Way,619795,"Boon Lay Way, Singapore 619795",103.732581,1.342376
Bukit Batok Nature Park,Park,,"Cnr Bukit Batok East Avenue 2, Bukit Batok East Ave 6",659761,"Cnr Bukit Batok East Avenue 2, Bukit Batok East Ave 6, and, 659761",103.7642,1.3485
Istana Park,Park,,"Bounded by Orchard Road Penang Road, Penang Lane and, Buyong Rd",,"Bounded by Orchard Road Penang Road, Penang Lane and, Buyong Rd, Singapore",103.8438,1.2992
Chek Jawa Park,Park,,Chek Jawa Trail,,"Chek Jawa Trail, Singapore",103.819836,1.352083
Choa Chu Kang Park (Therapeutic Garden),Park,,Choa Chu Kang Dr,688845,"Choa Chu Kang Dr, Singapore 688845",103.7474,1.3875
Tanjong Pagar Park,Park,,Choon Guan St,,"Choon Guan St., Singapore",103.8468,1.2767
Japanese Cemetery Park,Park,,825B Chuan Hoe Ave,549854,"825B Chuan Hoe Ave, Singapore 549854",103.8768,1.3653
National Orchid Garden,Park,,"1 Cluny Rd, Singapore Botanic Gardens",259569,"1 Cluny Rd, Singapore Botanic Gardens, Singapore 259569",103.8162,1.3157
Sengkang Sculpture Park,Park,,Compassvale St,,"Compassvale St, Singapore",103.8966,1.3947
Kallang Riverside Park,Park,,"Cnr Kallang Road and, Crawford St",397732,"Cnr Kallang Road and, Crawford St, Singapore 397732",103.8683,1.307
Dairy Farm Nature Park,Park,,100 Dairy Farm Rd,679057,"100 Dairy Farm Rd, Singapore 679057",103.7764,1.364
Bukit Batok Town Park,Park,,Bukit Batok East Ave 5,,"Bukit Batok East Ave 5, Singapore",103.7541,1.3557
West Coast Park,Park,,W Coast Ferry Rd,126978,"W Coast Ferry Rd, Singapore 126978",103.7667,1.2914
Waterboat House Garden Park,Park,,Fullerton Rd,,"Fullerton Rd, Singapore",103.8533889,1.28730556
Tiong Bahru Park (Therapeutic Garden),Park,,1 Henderson Rd,159561,"1 Henderson Rd, Singapore 159561",103.8248,1.287
Bukit Timah Nature Reserve Park,Park,,Hindhede Dr,589318,"Hindhede Dr, Singapore 589318",103.7763,1.3548
Punggol Park,Park,,Hougang Ave 10,538768,"Hougang Ave 10, Singapore 538768",103.8977,1.3777
Labrador Nature Reserve,Park,,91 Labrador Villa Rd,119190,91 Labrador Villa Rd Singapore 119190,103.8021,1.2665
Toa Payoh Town Park,Park,,Lor 6 Toa Payoh,319393,"Lor 6 Toa Payoh, Singapore 319393",103.848,1.3307
Mount Faber Park,Park,,Mount Faber Rd,,"Mount Faber Rd, Singapore",103.8192,1.2719
Ang Mo Kio Town Garden East Park,Park,,"Junction of Ang Mo Kio Ave 3 and 8, behind Ang Mo Kio MRT Station",,"Junction of Ang Mo Kio Ave 3 and 8, behind Ang Mo Kio MRT Station, Singapore",103.850249,1.370735
Hong Lim Park,Park,,New Bridge Rd,59299,"New Bridge Rd, Singapore 059299",103.8465,1.2866
Changi Beach Park,Park,,Nicoll Dr,498991,"Nicoll Dr, Singapore 498991",103.9921,1.3909
East Coast Park,Park,,E Coast Park Service Rd,,"E Coast Park Service Rd, Singapore",103.9122,1.3008
Pasir Ris Park (Therapeutic Garden),Park,,"Along, Pasir Ris Central, Opposite MRT Station",519639,"Along, Pasir Ris Central, Opposite MRT Station, Singapore 519639",103.9524,1.3715
Dhoby Ghaut Green Park,Park,,9 Penang Rd,238459,"9 Penang Rd, Singapore 238459",103.8449946,1.2985896
Ketam Mountain Bike Park,Park,,Pulau Ubin,,"Pulau Ubin, Singapore",103.947755,1.411482
Coney Island Park,Park,,Punggol Promenade Nature Walk,829325,"Punggol Promenade Nature Walk, Singapore 829325",103.87775,1.34611
Punggol Point Park,Park,,Punggol Point Rd,,"Punggol Point Rd, Singapore",103.9111,1.421
Youth Olympic Park,Park,,Raffles Avenue,39805,"Raffles Avenue, Singapore 039805",103.8606,1.2891
Raffles Place Park,Park,,Raffles Pl,,"Raffles Pl, Singapore",103.8515,1.2842
Fort Canning Park,Park,,River Valley Rd,179037,"River Valley Rd, Singapore 179037",103.8458,1.2944
Sembawang Park,Park,,Sembawang Rd,,"Sembawang Rd, Singapore",103.8369,1.4617
Punggol Waterway Park (Therapeutic Garden),Park,,Sentul Cres,821313,"Sentul Cres, Singapore 821313",103.9045,1.4111
One-north Park,Park,,te,,"Slim Barracks Rise, Singapore",103.7909,1.3017
War Memorial Park,Park,,"Nicoll Highway, Stamford Rd",189701,"Nicoll Highway, Stamford Rd, &, Singapore 189701",103.8547,1.2929
Sun Plaza Park,Park,,Tampines Ave 7,,"Tampines Ave 7, Singapore",103.9437,1.3588
Tampines Eco Green Park,Park,,Tampines Ave 9,520491,"Tampines Ave 9, Singapore 520491",103.94828,1.36414
Telok Blangah Hill Park (Therapeutic Garden),Park,,"10, Telok Blangah Green",109178,"10, Telok Blangah Green, Singapore 109178",103.8107,1.2788
Kranji Reservoir Park,Park,,Along Kranji Way,,"Along Kranji Way, Singapore",103.7352,1.4426
Upper Seletar Reservoir Park,Park,,Upper Seletar Reservoir,,"Upper Seletar Reservoir, Singapore",103.8069,1.3999
"Mount Emily Park, Singapore",Park,,"Mt Emily Rd, Upper Wilkie Rd, and",228119,"Mt Emily Rd, Upper Wilkie Rd, and, Singapore 228119",103.8476,1.3047
Kent Ridge Park,Park,,Vigilante Dr,118176,"Vigilante Dr, Singapore 118176",103.7913,1.2839
Clementi Woods Park,Park,,West Coast Road,,"West Coast Road, Singapore",103.7677,1.2998
Marsiling Park,Park,,Woodlands Centre Rd,738930,"Woodlands Centre Rd, Singapore 738930",103.77,1.4378
Lower Seletar Reservoir Park,Park,,"Yishun Ave 1, Lower Seletar Reservoir Park",769139,"Yishun Ave 1, Lower Seletar Reservoir Park, Singapore 769139",103.8324,1.4102
Yishun Neighbourhood Park,Park,,"Yishun Ave 2, Ave 7 and St 22",752106,"Yishun Ave 2, Ave 7 and St 22, Singapore 752106",103.8353,1.4379
Yishun Pond Park,Park,,Yishun Central,760323,"Yishun Central, Singapore 760323",103.8399,1.4279
Sungei Buloh Wetland Reserve Park,Park,,301 Neo Tiew Cres,718925,"301 Neo Tiew Cres, Singapore 718925",103.7239,1.4459
Singapore Botanic Gardens,Park,,1 Cluny Rd,259569,"1 Cluny Rd, Singapore 259569",103.8159,1.3138
Chestnut Nature Park,Park,,Chestnut Ave,679514,"Chestnut Ave, Singapore 679514",103.7811,1.376
Springleaf Nature Park,Park,,1230 Upper Thomson Rd,787129,"1230 Upper Thomson Rd, Singapore 787129",103.8202,1.4011
Windsor Nature Park,Park,,30 Venus Dr,573858,"30 Venus Dr, Singapore 573858",103.8214,1.3566
MacRitchie Reservoir Park,Park,,Lornie Rd,298735,"Lornie Rd, Singapore 298735",103.8224,1.3448
Hampstead Wetlands Park,Park,,1 Baker St,799977,"1 Baker St, Singapore 799977",103.87068,1.40934
