,Coordinates,FairpricePoints,HosPoints,MallPoints,MRTPoints,ParksPoints,PriSchPoints,SecSchPoints,TertairyPoints,UniPoints,Area,Location_Type,Link,floor_area_sqm,remaining_lease,Sale_Price
0,"1.282259, 103.826338",0.011454440697742763,0.21965770007402785,0.004179467956766282,0.006712458456544423,0.0018043781194911626,0.027290529952407945,0.009587993289924112,0.0,0.0,Hougang,HDB 3 Room,https://www.99.co/singapore/sale/property/109-hougang-avenue-1-hdb-gQCnJCS5badbDpeH6D8act,59,79,450000
1,"1.283514, 103.826187",0.009682976206679364,0.20506647099499448,0.0055251249448796955,0.00943270835891171,0.0023971260405391123,0.05698661381317213,0.009890790136415552,0.0,0.0,Ang Mo Kio,HDB 3 Room,https://www.99.co/singapore/sale/property/419-ang-mo-kio-avenue-10-hdb-b83xY7xfvR89iG34cPuFjK,55,88,450000
2,"1.2836169000000002, 103.82526766016466",0.009356044134639242,0.19196423015906447,0.004782778252669606,0.008367774707694366,0.0026332493567636454,0.0436773402037273,0.010422970615847568,0.0,0.0,Marine Crescent Ville,HDB 5 Room,https://www.srx.com.sg/listings/99529201/for-sale-marine-crescent-ville-1-km-to-tao-nan-and-upcoming-mrt,51,126,738000
3,"1.28651445, 103.82909641058545",0.007101831614894198,0.3543796839751313,0.01761608124814223,0.01906111284049861,0.0020804705489208303,0.014732373951774996,0.010291787552990397,0.0,0.0,Compassvale Walk,HDB 5 Room,https://www.srx.com.sg/listings/99104811/for-sale-compassvale-walk-compassvale-walk,76,121,599999
4,"1.2866077, 103.8213624397755",0.009256684736218957,0.10681913478216211,0.0027242367399724996,0.00948843643314451,0.002599938225568842,0.019215780864238648,0.01894880005427315,0.0,0.0,Buangkok Crescent,HDB 1 Bed,https://www.99.co/singapore/sale/property/998a-buangkok-crescent-hdb-nSiH9mfR48wfsSrWFPFiUt,94,46,368888
5,"1.2873399, 103.8308684",0.005959899829702641,0.15792482735197388,0.00846117328049029,0.017687931522274648,0.0014800278926633658,0.010890866440539954,0.010448284218403093,0.0,0.0,Tampines,HDB 4 Room,https://www.99.co/singapore/sale/property/361-tampines-street-34-hdb-9275u7BHF6faAnqPfCvfAJ,72,127,720000
6,"1.2927719, 103.80842240563408",0.014294948782008689,0.04958029269146846,0.00873864910392835,0.011704614265755859,0.0,0.010878990162939948,0.019163912404240566,0.0,0.0,Bukit Batok West,HDB 4 Room,https://www.99.co/singapore/sale/property/461a-bukit-batok-west-avenue-8-hdb-UrskP8bYGdATFpxRtGBvUV,95,92,680000
7,"1.3009377500000001, 103.85398119999999",0.003545625651142871,0.2307466590728418,0.07016941946340031,0.04686900492415153,0.0023286939439124132,0.0,0.006552589989871226,0.02664375190680444,0.0058167003893886005,Joo Seng,HDB 2 Room,https://www.99.co/singapore/sale/property/9-joo-seng-road-hdb-AucyrHsu3qaRgdFvX25dxj,93,68,580000
8,"1.3021372, 103.8836242",0.003177891515248937,0.013668938162147874,0.0024872426744143926,0.012866271285789228,0.0,0.0,0.010027209388465269,0.0,0.0,Jurong East,HDB 5 Room,https://www.srx.com.sg/listings/99509571/for-sale-jurong-east-street-32-spacious-5rm-model-a-corner-high-floor-bright-an,59,131,418000
9,"1.307321, 103.7956057",0.004953092568337013,0.08257242334801543,0.010170614818815869,0.015727116561863416,0.001226918155289275,0.0,0.0,0.0,0.0,Bukit Batok West,HDB 4 Room,https://www.srx.com.sg/listings/100438401/for-sale-bukit-batok-west-avenue-8-bukit-batok-west-avenue-8,60,103,560000
10,"1.307525, 103.79915115",0.0026665957336759905,0.04713418276898169,0.0036475704939301803,0.010475920026573746,0.0,0.004257029852238094,0.004734985203418665,0.0,0.0,Lorong 5 Toa Payoh,HDB 3 Room,https://www.srx.com.sg/listings/100213381/for-sale-lorong-5-toa-payoh-lorong-5-toa-payoh,49,61,1020000
11,"1.3127562, 103.76900240541246",0.011439723865007582,0.1250117906364794,0.012220356350407243,0.0062506192673972925,0.0,0.01531622239199991,0.044357435603486935,0.0,0.0,Senja Link,HDB 5 Room,https://www.99.co/singapore/sale/property/652-senja-link-hdb-YrG7dkhSFCPiAkRbmHo5HC,77,10,638888
12,"1.3146262, 103.8562822",0.010288243031383551,0.22519396040847714,0.009381399359529481,0.014284931612841719,0.0,0.011325275578776647,0.007369852701114741,0.0,0.0,Ang Mo Kio,HDB 4 Room,https://www.99.co/singapore/sale/property/426-ang-mo-kio-avenue-3-hdb-7zbvCnL6rJAAYAAXHwnz5t,54,91,500000
