UID,Year,Price,Type,Title,Links,Sub Heading
0,2023,$800 ,Room for Rent , Sengkang,https://rentinsingapore.com.sg/rooms-for-rent/ID679877,Common Room @ Anchorvale Link 302D!
1,2023,"$1,400 ",Room for Rent , Changi,https://rentinsingapore.com.sg/rooms-for-rent/ID669618,Nice common room for rent in Flora Drive for Females only
2,2023,"$2,000 ",Room for Rent , Orchard,https://rentinsingapore.com.sg/rooms-for-rent/ID603968,Vision co-living master bedroom 
3,2023,"$4,000 ",Whole Unit , Novena,https://rentinsingapore.com.sg/rooms-for-rent/ID646305,Vision whole unit 
4,2023,"$2,500 ",Room for Rent , Farrer Park,https://rentinsingapore.com.sg/rooms-for-rent/ID654101,Vision co-living master bedroom 
5,2023,"$2,800 ",Whole Unit , Farrer Park,https://rentinsingapore.com.sg/rooms-for-rent/ID657626,Vision co-Living studio room
6,2023,"$1,100 ",Room for Rent , Kallang,https://rentinsingapore.com.sg/rooms-for-rent/ID668122,Above Boon Keng MRT
7,2023,"$1,100 ",Room for Rent , Yishun,https://rentinsingapore.com.sg/rooms-for-rent/ID668053,2 Common Room at Blk 640 Yishun Street 61. Near to Khatib MRT! NO AGENT FEE
8,2023,$950 ,Room for Rent , Serangoon,https://rentinsingapore.com.sg/rooms-for-rent/ID668423,Common Room at Blk 111 Serangoon North Avenue 1! NO AGENT FEE
9,2023,$800 ,Room for Rent , Woodlands,https://rentinsingapore.com.sg/rooms-for-rent/ID669163,2 Common Room for rent at Blk 538 Woodlands Drive 16. (FEMALES ONLY) NO AGENT FEE
10,2023,"$2,600 ",Room for Rent , River Valley,https://rentinsingapore.com.sg/rooms-for-rent/ID679968,"Privacy, no owner, Huge Master room at UE Square, Near Fort Canning Mrt"
11,2023,"$3,300 ",Room for Rent , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679967,"No owner, Huge Master rm w good size balcony & attached bathrm, Video Tour available on request"
12,2023,"$1,950 ",Room for Rent , Tanjong Pagar,https://rentinsingapore.com.sg/rooms-for-rent/ID679966,"Privacy common room, Above Tanjong Pagar Mrt, no owner for rent"
13,2023,"$1,900 ",Room for Rent , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679965,"No owner, Expat Common room at One Devonshire near Somerset Mrt"
14,2023,"$9,999 ",Whole Unit , Bukit Timah,https://rentinsingapore.com.sg/rooms-for-rent/ID679963,"7bedrooms with Private Pool at Goodwood Crescent, near CBD/Town area"
15,2023,$900 ,Room for Rent , Jurong West,https://rentinsingapore.com.sg/rooms-for-rent/ID679962,Near Boon Lay MRT! Common room at 660c jurong west street 64 for rent! Aircon wifi! 
16,2023,"$9,999 ",Whole Unit , Sentosa,https://rentinsingapore.com.sg/rooms-for-rent/ID679961,"Beautiful Sea & Pool view with nice huge patio , 4+1bedroom, The Coast"
17,2023,"$9,999 ",Whole Unit , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679960,"PentHouse 3 storey with prive lift, Sky Terrace, Roof top pool, Jacuzzi 4 bedrooms + 1 Family area"
18,2023,"$9,999 ",Whole Unit , Bukit Timah,https://rentinsingapore.com.sg/rooms-for-rent/ID679959,"5bdrm + Utility Cluster House at Goodwood Mews l, Pool, Jacuzzi"
19,2023,"$9,999 ",Whole Unit , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679958,"PentHouse 2 storey, Duplex, Sky Terrace, Roof top pool, Jacuzzi, Out door patio , 4bedroom + Family"
20,2023,"$1,200 ",Room for Rent , Tiong Bahru,https://rentinsingapore.com.sg/rooms-for-rent/ID679991,Renovated room @ Blk 1A Cantonment
21,2023,"$1,200 ",Room for Rent , Tanjong Pagar,https://rentinsingapore.com.sg/rooms-for-rent/ID679990,"Blk 1A Cantonment - owned fridge, owned TV"
22,2023,"$1,200 ",Room for Rent , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679989,Renovated room @ Pinnacle Duxton 
23,2023,$700 ,Room for Rent , Hougang,https://rentinsingapore.com.sg/rooms-for-rent/ID679988,Blk 926 Hougang - 1 lady 
