School_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
Admiralty Primary School,Primary School,11,Woodlands Circle,738907,"11 Woodlands Circle, Singapore 738907",,
Ahmad Ibrahim Primary School,Primary School,10,Yishun Street 11,768643,"10 Yishun Street 11, Singapore 768643",,
Ai Tong School,Primary School,100,Bright Hill Drive,579646,"100 Bright Hill Drive, Singapore 579646",,
Alexandra Primary School,Primary School,2A,Prince Charles Crescent,159016,"2A Prince Charles Crescent, Singapore 159016",,
Anchor Green Primary School,Primary School,31,Anchorvale Drive,544969,"31 Anchorvale Drive, Singapore 544969",,
Anderson Primary School,Primary School,19,Ang Mo Kio Avenue 9,569785,"19 Ang Mo Kio Avenue 9, Singapore 569785",,
Anglo-Chinese School (Junior),Primary School,16,Winstedt Road,227988,"16 Winstedt Road, Singapore 227988",,
Anglo-Chinese School (Primary),Primary School,50,Barker Road,309918,"50 Barker Road, Singapore 309918",,
Angsana Primary School,Primary School,3,Tampines Street 22,529366,"3 Tampines Street 22, Singapore 529366",,
Ang Mo Kio Primary School,Primary School,20,Ang Mo Kio Avenue 3,569920,"20 Ang Mo Kio Avenue 3, Singapore 569920",,
Balestier Hill Primary School,Primary School,565,Balestier Road,329927,"565 Balestier Road, Singapore 329927",,
Beacon Primary School,Primary School,36,Bukit Panjang Ring Road,679944,"36 Bukit Panjang Ring Road, Singapore 679944",,
Bedok Green Primary School,Primary School,1,Bedok South Ave 2,469317,"1 Bedok South Ave 2, Singapore 469317",,
Bendemeer Primary School,Primary School,91,Bendemeer Road,339948,"91 Bendemeer Road, Singapore 339948",,
Blangah Rise Primary School,Primary School,91,Telok Blangah Heights,109100,"91 Telok Blangah Heights, Singapore 109100",,
Boon Lay Garden Primary School,Primary School,20,Boon Lay Drive,649930,"20 Boon Lay Drive, Singapore 649930",,
Bukit Panjang Primary School,Primary School,109,Cashew Road,679676,"109 Cashew Rd, Singapore 679676",,
Bukit Timah Primary School,Primary School,11,Lorong Kismis,598112,"111 Lorong Kismis, Singapore 598112",,
Bukit View Primary School,Primary School,18,Bukit Batok Street 21,659634,"18 Bukit Batok St 21, Singapore 659634",,
Canberra Primary School,Primary School,21,Admiralty Drive,757714,"21 Admiralty Drive, Singapore 757714",,
Canossa Catholic Primary School,Primary School,1,Sallim Road,387621,"1 Sallim Rd, Singapore 387621",,
Cantonment Primary School,Primary School,1,Cantonment Close,88256,"1 Cantonment Close, SingaporeÂ 088256",,
Casuarina Primary School,Primary School,30,Pasir Ris Street 41,518935,"30 Pasir Ris Street 41, Singapore 518935",,
Catholic High School (Primary),Primary School,9,Bishan Street 22,579767,"9 Bishan Street 22, Singapore 579767",,
Cedar Primary School,Primary School,15,Cedar Avenue,349700,"15 Cedar Avenue, Singapore 349700",,
Changkat Primary School,Primary School,11,Simei Street 3,529896,"11 Simei Street 3, Singapore 529896",,
CHIJ (Katong) Primary,Primary School,17,Martia Road,424821,"17 Martia Road, Singapore 424821",,
CHIJ (Kellock),Primary School,1,Bukit Teresa Rd,99757,"1 Bukit Teresa Rd, Singapore 099757",,
CHIJ Our Lady of Good Counsel,Primary School,2C,Burghley Drive,558979,"2C Burghley Drive, Singapore 558979",,
CHIJ Primary (Toa Payoh),Primary School,628,Lorong 1 Toa Payoh,319765,"628 Lorong 1 Toa Payoh, Singapore 319765",,
CHIJ St. Nicholas Girls' School (Primary Section),Primary School,501,Ang Mo Kio Street 13,569405,"501 Ang Mo Kio Street 13, Singapore 569405",,
Chongfu School,Primary School,170,Yishun Avenue 6,768959,"170 Yishun Avenue 6, Singapore 768959",,
Chongzheng Primary School,Primary School,1,Tampines Street 21,529392,"1 Tampines Street 21, Singapore 529392",,
Chua Chu Kang Primary School,Primary School,20,Choa Chu Kang Avenue 2,689905,"20 Choa Chu Kang Avenue 2, Singapore 689905",,
Clementi Primary School,Primary School,8,Clementi Avenue 3,129903,"8 Clementi Avenue 3, Singapore 129903",,
Compassvale Primary School,Primary School,21,Compassvale Street,545091,"21 Compassvale Street, Singapore 545091",,
Concord Primary School,Primary School,3,Choa Chu Kang Ave 4,689814,"3 Choa Chu Kang Ave 4, Singapore 689814",,
Coral Primary School,Primary School,20,Pasir Ris Street 51,518902,"20 Pasir Ris Street 51, Singapore 518902",,
Corporation Primary School,Primary School,31,Jurong West Street 24,648347,"31 Jurong West Street 24, Singapore 648347",,
Da Qiao Primary School,Primary School,8,Ang Mo Kio Street 54,569185,"8 Ang Mo Kio Street 54, Singapore 569185",,
Damai Primary School,Primary School,52,Bedok Reservoir Crescent,479226,"52 Bedok Reservoir Crescent, Singapore 479226",,
Dazhong Primary School,Primary School,35,Bukit Batok Street 31,659441,"35 Bukit Batok Street 31, Singapore 659441",,
De La Salle School,Primary School,11,Choa Chu Kang St. 52,689285,"11 Choa Chu Kang St. 52, Singapore 689285",,
East Coast Primary School,Primary School,8,Chai Chee Lane,469031,"8 Chai Chee Lane, Singapore 469031",,
East Spring Primary School,Primary School,31,Tampines Street 33,529258,"31 Tampines Street 33, Singapore 529258",,
East View Primary School,Primary School,4,Tampines Street 91,528907,"4 Tampines Street 91, Singapore 528907",,
Edgefield Primary School,Primary School,41,Edgefield Plains,828869,"41 Edgefield Plains, Singapore 828869",,
Elias Park Primary School,Primary School,11,Pasir Ris Street 52,518866,"11 Pasir Ris Street 52, Singapore 518866",,
Endeavour Primary School,Primary School,10,Admiralty Link,757521,"10 Admiralty Link, Singapore 757521",,
Eunos Primary School,Primary School,95,Jalan Eunos,419529,"95 Jalan Eunos, Singapore 419529",,
Evergreen Primary School,Primary School,31,Woodlands Circle,738908,"31 Woodlands Circle, Singapore 738908",,
Fairfield Methodist School (Primary),Primary School,100,Dover Road,139648,"100 Dover Road, Singapore 139648",,
Farrer Park Primary School,Primary School,2,Farrer Park Road,217567,"2 Farrer Park Road #01-01, Singapore 217567",,
Fengshan Primary School,Primary School,307,Bedok North Road,469680,"307 Bedok North Road, Singapore 469680",,
Fern Green Primary School,Primary School,70,Fernvale Link,797538,"70 Fernvale Link, Singapore 797538",,
Fernvale Primary School,Primary School,1,Fernvale Lane,797701,"1 Fernvale Lane, Singapore 797701",,
First Toa Payoh Primary School,Primary School,7,Lorong 8 Toa Payoh,319252,"7 Lorong 8 Toa Payoh, Singapore 319252",,
Frontier Primary School,Primary School,20,Jurong West Street 61,64820,"20 Jurong West Street 61, Singapore 64820",,
Fuchun Primary School,Primary School,23,Woodlands Avenue 1,739063,"23 Woodlands Avenue 1, Singapore 739063",,
Fuhua Primary School,Primary School,65,Jurong East Street 13,609647,"65 Jurong East St 13, Singapore 609647",,
Gan Eng Seng Primary School,Primary School,100,Redhill Close,158901,"100 Redhill Close, Singapore 158901",,
Geylang Methodist School (Primary),Primary School,4,Geylang East Central,389706,"4 Geylang East Central,Â Singapore 389706",,
Gongshang Primary School,Primary School,1,Tampines Street 42,529176,"1 Tampines Street 42, Singapore 529176",,
Greendale Primary School,Primary School,50,Edgedale Plains,828848,"50 Edgedale Plains, Singapore 828848",,
Greenridge Primary School,Primary School,11,Jelapang Road,677744,"11 Jelapang Road, Singapore 677744",,
Greenwood Primary School,Primary School,11,Woodlands Drive 62,737942,"11 Woodlands Drive 62, Singapore 737942",,
Guangyang Primary School,Primary School,6,Bishan Street 12,579806,"6 Bishan Street 12, Singapore 579806",,
Haig Girls' School,Primary School,51,Koon Seng Road,427072,"51 Koon Seng Road, Singapore 427072",,
Holy Innocents' Primary School,Primary School,5,Lorong Low Koon,536451,"5 Lorong Low Koon, Singapore 536451",,
Henry Park Primary School,Primary School,1,Holland Grove Road,278790,"1 Holland Grove Road, Singapore 278790",,
Hong Wen School,Primary School,30,Towner Road,327829,"30 Towner Road, Singapore 327829",,
Horizon Primary School,Primary School,61,Edgedale Plains,828819,"61 Edgedale Plains, Singapore 828819",,
Hougang Primary School,Primary School,1,Hougang Street 93,534238,"No.1 Hougang Street 93, Singapore 534238",,
Huamin Primary School,Primary School,21,Yishun Ave 11,768857,"21 Yishun Ave 11, Singapore 768857",,
Innova Primary School,Primary School,80,Woodlands Drive 17,737888,"80 Woodlands Drive 17, Singapore 737888",,
Jiemin Primary School,Primary School,2,2 Yishun Street 71,768515,"No. 2 Yishun Street 71, Singapore 768515",,
Jing Shan Primary SchoolÂ [zh],Primary School,5,Ang Mo Kio 52,569228,"5 Ang Mo Kio 52, Singapore 569228",,
Junyuan Primary School,Primary School,2,Tampines Street 91,528906,"2 Tampines Street 91, Singapore 528906",,
Jurong Primary School,Primary School,320,Jurong East Street 32,609476,"320 Jurong East Street 32, Singapore 609476",,
Jurong West Primary School,Primary School,30,Jurong West Street 61,648368,"30 Jurong West Street 61,Â  Singapore 648368",,
