Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Jurong West,HDB 4 Room,276A,Jurong West Street 25,,Blk 276A Jurong West Street 25,,,88,78,468000,https://www.srx.com.sg/listings/100645171/for-sale-jurong-west-street-25-jurong-west-street-25,21.0,3,2.0
MARSILING LANE,HDB 4 Room,12B,MARSILING LANE,,Blk 12B MARSILING LANE,,,93,89,468000,https://www.srx.com.sg/listings/100645161/for-sale-marsiling-lane-marsiling-lane,10.0,3,2.0
Bukit Batok West,HDB 5 Room,115,Bukit Batok West Avenue 6,,Blk 115 Bukit Batok West Avenue 6,,,132,61,468000,https://www.srx.com.sg/listings/100645151/for-sale-bukit-batok-west-avenue-6-bukit-batok-west-avenue-6,38.0,4,2.0
Toh Yi,HDB Executive,7,Toh Yi Drive,,Blk 7 Toh Yi Drive,,,142,65,600000,https://www.srx.com.sg/listings/100645121/for-sale-toh-yi-drive-toh-yi-drive,34.0,4,2.0
Jurong East,HDB 4 Room,316,Jurong East Street 32,,Blk 316 Jurong East Street 32,,,105,60,600000,https://www.srx.com.sg/listings/100645111/for-sale-jurong-east-street-32-jurong-east-street-32,39.0,3,2.0
Buangkok Tropica,HDB 4 Room,996C,Buangkok Tropica,,Blk 996C Buangkok Tropica,,,93,94,600000,https://www.srx.com.sg/listings/100645061/for-sale-buangkok-tropica-buangkok-crescent,5.0,3,2.0
Spring Haven,HDB 4 Room,560A,Spring Haven @ Jurong,,Blk 560A Spring Haven @ Jurong,,,93,94,738000,https://www.srx.com.sg/listings/100645031/for-sale-spring-haven-jurong-jurong-west-street-42,5.0,3,2.0
Compassvale Mast,HDB 4 Room,217B,Compassvale Mast,,Blk 217B Compassvale Mast,,,92,93,738000,https://www.srx.com.sg/listings/100645021/for-sale-compassvale-mast-compassvale-drive,6.0,3,2.0
Redhill,HDB 5 Room,74A,Redhill Road,,Blk 74A Redhill Road,,,115,81,738000,https://www.srx.com.sg/listings/100645001/for-sale-redhill-road-redhill-road,18.0,3,2.0
Bedok North,HDB 3 Room,426,Bedok North Road,,Blk 426 Bedok North Road,,,67,55,1380000,https://www.srx.com.sg/listings/100644961/for-sale-bedok-north-road-bedok-north-road,44.0,2,2.0
Tampines,HDB Executive,148,Tampines Avenue 5,,Blk 148 Tampines Avenue 5,,,142,61,1380000,https://www.srx.com.sg/listings/99585151/for-sale-tampines-avenue-5-ea-near-tampines-mrt-with-1neighbour-only,38.0,4,2.0
Clementi,HDB 5 Room,338,Clementi Avenue 2,,Blk 338 Clementi Avenue 2,,,119,54,1380000,https://www.srx.com.sg/listings/99515021/for-sale-clementi-avenue-2-clementi-avenue-2,45.0,3,2.0
Hougang,HDB 3 Room,674,Hougang Avenue 8,,Blk 674 Hougang Avenue 8,,,65,63,518000,https://www.srx.com.sg/listings/100644901/for-sale-hougang-avenue-8-hougang-avenue-8,36.0,2,2.0
Jurong West,HDB 3 Room,456,Jurong West Street 41,,Blk 456 Jurong West Street 41,,,67,61,518000,https://www.srx.com.sg/listings/100644831/for-sale-jurong-west-street-41-jurong-west-street-41,38.0,2,2.0
Bukit Batok East,HDB 4 Room,260,Bukit Batok East Avenue 4,,Blk 260 Bukit Batok East Avenue 4,,,103,61,588000,https://www.srx.com.sg/listings/100644781/for-sale-bukit-batok-east-avenue-4-bukit-batok-east-avenue-4,38.0,3,2.0
Fern Grove,HDB 4 Room,673B,Fern Grove @ Yishun,,Blk 673B Fern Grove @ Yishun,,,93,94,588000,https://www.srx.com.sg/listings/100644721/for-sale-fern-grove-yishun-yishun-avenue-4,5.0,3,2.0
Choa Chu Kang,HDB 4 Room,440,Choa Chu Kang Avenue 4,,Blk 440 Choa Chu Kang Avenue 4,,,106,69,588000,https://www.srx.com.sg/listings/100644701/for-sale-choa-chu-kang-avenue-4-choa-chu-kang-avenue-4,30.0,3,2.0
Holland Vista,HDB 3 Room,13,Holland Vista,,Blk 13 Holland Vista,,,65,51,628000,https://www.srx.com.sg/listings/100644681/for-sale-holland-vista-holland-drive,48.0,2,2.0
Balam,HDB 2 Room,30,Balam Road,,Blk 30 Balam Road,,,46,49,628000,https://www.srx.com.sg/listings/100624221/for-sale-balam-road-high-flr-corner-with-extra-space,50.0,2+1,1.0
Cassia Crescent,HDB 4 Room,28,Cassia Crescent,,Blk 28 Cassia Crescent,,,102,74,628000,https://www.srx.com.sg/listings/100031251/for-sale-cassia-crescent-cassia-crescent,25.0,3,2.0
Punggol Field,HDB 5 Room,258A,Punggol Field,,Blk 258A Punggol Field,,,113,92,679000,https://www.srx.com.sg/listings/100031241/for-sale-punggol-field-punggol-field,7.0,4,2.0
Havelock,HDB 3 Room,57,Havelock Road,,Blk 57 Havelock Road,,,69,89,679000,https://www.srx.com.sg/listings/97672701/for-sale-havelock-road-havelock-road,10.0,2,2.0
Chin Swee,HDB 4 Room,53,Chin Swee Road,,Blk 53 Chin Swee Road,,,77,50,1060000,https://www.srx.com.sg/listings/100030701/for-sale-chin-swee-road-chin-swee-road,49.0,3,2.0
Lorong 2 Toa Payoh,HDB 5 Room,152,Lorong 2 Toa Payoh,,Blk 152 Lorong 2 Toa Payoh,,,110,82,1060000,https://www.srx.com.sg/listings/95517091/for-sale-lorong-2-toa-payoh-high-floor-next-to-mrt-and-shops,17.0,3,2.0
Pasir Ris,HDB 5 Room,461,Pasir Ris Drive 4,,Blk 461 Pasir Ris Drive 4,,,122,68,1060000,https://www.srx.com.sg/listings/99470031/for-sale-pasir-ris-drive-4-park-facing-efficient-layout-view-to-believe,31.0,3,2.0
Pasir Ris,HDB 5 Room,776,Pasir Ris Street 71,,Blk 776 Pasir Ris Street 71,,,127,72,420000,https://www.srx.com.sg/listings/100029951/for-sale-pasir-ris-street-71-pasir-ris-street-71,27.0,3,2.0
Skyparc,HDB 4 Room,96,Skyparc @ Dawson,,Blk 96 Skyparc @ Dawson,,,86,96,420000,https://www.srx.com.sg/listings/100029501/for-sale-skyparc-dawson-dawson-road,3.0,3,2.0
Circuit,HDB 2 Room,51,Circuit Road,,Blk 51 Circuit Road,,,42,45,965000,https://www.srx.com.sg/listings/99917781/for-sale-circuit-road-circuit-road,54.0,1,1.0
Lake Vista,HDB 5 Room,138B,Lake Vista @ Yuan Ching,,Blk 138B Lake Vista @ Yuan Ching,,,108,90,965000,https://www.srx.com.sg/listings/99655961/for-sale-lake-vista-yuan-ching-yuan-ching-road,9.0,3,2.0
Bukit Batok,HDB 5 Room,291C,Bukit Batok Street 24,,Blk 291C Bukit Batok Street 24,,,121,74,965000,https://www.srx.com.sg/listings/99415771/for-sale-bukit-batok-street-24-bukit-batok-street-24,25.0,3,2.0
Serangoon Central,HDB 4 Room,201,Serangoon Central,,Blk 201 Serangoon Central,,,89,61,750000,https://www.srx.com.sg/listings/100008181/for-sale-serangoon-central-fully-renovated-corner-with-recess-area-5-mins-t,38.0,3,2.0
Lorong 1 Toa Payoh,HDB 2 Room,161,Lorong 1 Toa Payoh,,Blk 161 Lorong 1 Toa Payoh,,,40,48,750000,https://www.srx.com.sg/listings/99192501/for-sale-lorong-1-toa-payoh-rare-corner-selling-only-no-extension-of-stay,51.0,1,1.0
Tampines,HDB 4 Room,266,Tampines Street 21,,Blk 266 Tampines Street 21,,,103,60,750000,https://www.srx.com.sg/listings/99616021/for-sale-tampines-street-21-tampines-street-21,39.0,3,2.0
Yishun,HDB 5 Room,651,Yishun Avenue 4,,Blk 651 Yishun Avenue 4,,,121,63,425000,https://www.srx.com.sg/listings/99770411/for-sale-yishun-avenue-4-yishun-avenue-4,36.0,4,2.0
Sumang Link,HDB 4 Room,313B,Sumang Link,,Blk 313B Sumang Link,,,92,91,900000,https://www.srx.com.sg/listings/99628591/for-sale-sumang-link-sumang-link,8.0,3,2.0
Fernvale Link,HDB 5 Room,415B,Fernvale Link,,Blk 415B Fernvale Link,,,113,92,900000,https://www.srx.com.sg/listings/97826491/for-sale-fernvale-link-fernvale-link,7.0,3,2.0
Hougang,HDB 4 Room,567,Hougang Street 51,,Blk 567 Hougang Street 51,,,100,73,900000,https://www.srx.com.sg/listings/97668821/for-sale-hougang-street-51-hougang-street-51,26.0,3,2.0
Sembawang Close,HDB 4 Room,324,Sembawang Close,,Blk 324 Sembawang Close,,,101,75,348000,https://www.srx.com.sg/listings/97684811/for-sale-sembawang-close-sembawang-close,24.0,3,2.0
Ang Mo Kio,HDB 3 Room,649,Ang Mo Kio Avenue 5,,Blk 649 Ang Mo Kio Avenue 5,,,75,56,348000,https://www.srx.com.sg/listings/97341911/for-sale-ang-mo-kio-avenue-5-ang-mo-kio-avenue-5,43.0,2,2.0
Lorong 1 Toa Payoh,HDB 3 Room,115,Lorong 1 Toa Payoh,,Blk 115 Lorong 1 Toa Payoh,,,65,43,480000,https://www.srx.com.sg/listings/97814681/for-sale-lorong-1-toa-payoh-115-lorong-1-toa-payoh,56.0,3,2.0
Jalan Rajah,HDB 5 Room,103,Jalan Rajah,,Blk 103 Jalan Rajah,,,139,60,480000,https://www.srx.com.sg/listings/96678811/for-sale-jalan-rajah-rare-city-fringe-large-exec-hdb-high-floor-1496,39.0,3,2.0
Petir,HDB 5 Room,167,Petir Road,,Blk 167 Petir Road,,,120,74,628000,https://www.srx.com.sg/listings/97809231/for-sale-petir-road-petir-road,25.0,3,2.0
Tampines Ria,HDB 2 Room,499A,Tampines Ria,,Blk 499A Tampines Ria,,,46,90,510000,https://www.srx.com.sg/listings/97796861/for-sale-tampines-ria-tampines-avenue-9,9.0,1,1.0
Segar,HDB 5 Room,546B,Segar Road,,Blk 546B Segar Road,,,112,91,510000,https://www.srx.com.sg/listings/97796241/for-sale-segar-road-segar-road,8.0,3,2.0
Woodlands,HDB 4 Room,536,Woodlands Drive 14,,Blk 536 Woodlands Drive 14,,,106,75,510000,https://www.srx.com.sg/listings/93809981/for-sale-woodlands-drive-14-woodlands-drive-14,24.0,3,2.0
Woodlands,HDB 4 Room,795,Woodlands Drive 72,,Blk 795 Woodlands Drive 72,,,100,74,440000,https://www.srx.com.sg/listings/95454521/for-sale-woodlands-drive-72-woodlands-drive-72,25.0,3,2.0
The Peak,HDB 3 Room,139A,The Peak @ Toa Payoh,,Blk 139A The Peak @ Toa Payoh,,,114,88,440000,https://www.srx.com.sg/listings/92163141/for-sale-the-peak-toa-payoh-fantastic-unblocked-view-at-night,11.0,3,2.0
Jurong West,HDB 5 Room,815,Jurong West Street 81,,Blk 815 Jurong West Street 81,,,121,66,880000,https://www.srx.com.sg/listings/100436361/for-sale-jurong-west-street-81-jurong-west-street-81,33.0,4,2.0
