School_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
Admiralty Primary School,School,11,Woodlands Circle,738907,"11 Woodlands Circle, Singapore 738907",103.8003451,1.4429414
Ahmad Ibrahim Primary School,School,10,Yishun Street 11,768643,"10 Yishun Street 11, Singapore 768643",103.8327098,1.4338487
Ai Tong School,School,100,Bright Hill Drive,579646,"100 Bright Hill Drive, Singapore 579646",103.8330175,1.36071255
Alexandra Primary School,School,2A,Prince Charles Crescent,159016,"2A Prince Charles Crescent, Singapore 159016",103.8240659,1.2912837
Anchor Green Primary School,School,31,Anchorvale Drive,544969,"31 Anchorvale Drive, Singapore 544969",103.8873538,1.3903798
Anderson Primary School,School,19,Ang Mo Kio Avenue 9,569785,"19 Ang Mo Kio Avenue 9, Singapore 569785",103.8415168,1.3837245
Anglo-Chinese School (Junior),School,16,Winstedt Road,227988,"16 Winstedt Road, Singapore 227988",103.8414098,1.3091048
Anglo-Chinese School (Primary),School,50,Barker Road,309918,"50 Barker Road, Singapore 309918",103.8350769,1.31875235
Angsana Primary School,School,3,Tampines Street 22,529366,"3 Tampines Street 22, Singapore 529366",103.9516516,1.34878235
Ang Mo Kio Primary School,School,20,Ang Mo Kio Avenue 3,569920,"20 Ang Mo Kio Avenue 3, Singapore 569920",103.8393602,1.3691002
Balestier Hill Primary School,School,565,Balestier Road,329927,"565 Balestier Road, Singapore 329927",103.8448679,1.32582
Beacon Primary School,School,36,Bukit Panjang Ring Road,679944,"36 Bukit Panjang Ring Road, Singapore 679944",103.7738056,1.38411495
Bedok Green Primary School,School,1,Bedok South Ave 2,469317,"1 Bedok South Ave 2, Singapore 469317",103.9378306,1.3240565
Bendemeer Primary School,School,91,Bendemeer Road,339948,"91 Bendemeer Road, Singapore 339948",103.8650741,1.3223157
Blangah Rise Primary School,School,91,Telok Blangah Heights,109100,"91 Telok Blangah Heights, Singapore 109100",103.80881,1.27640575
Boon Lay Garden Primary School,School,20,Boon Lay Drive,649930,"20 Boon Lay Drive, Singapore 649930",103.7129331,1.3428882
Bukit Panjang Primary School,School,109,Cashew Road,679676,"109 Cashew Rd, Singapore 679676",103.7694292,1.37341685
Bukit Timah Primary School,School,11,Lorong Kismis,598112,"111 Lorong Kismis, Singapore 598112",103.7709492,1.3389693
Bukit View Primary School,School,18,Bukit Batok Street 21,659634,"18 Bukit Batok St 21, Singapore 659634",103.7535185,1.34570095
Canberra Primary School,School,21,Admiralty Drive,757714,"21 Admiralty Drive, Singapore 757714",103.8155806,1.45086265
Canossa Catholic Primary School,School,1,Sallim Road,387621,"1 Sallim Rd, Singapore 387621",103.8810504,1.3266014
Cantonment Primary School,School,1,Cantonment Close,88256,"1 Cantonment Close, SingaporeÂ 088256",103.8398884,1.2758142
Casuarina Primary School,School,30,Pasir Ris Street 41,518935,"30 Pasir Ris Street 41, Singapore 518935",103.9572279,1.3728079
Catholic High School (Primary),School,9,Bishan Street 22,579767,"9 Bishan Street 22, Singapore 579767",103.8449976,1.35484625
Cedar Primary School,School,15,Cedar Avenue,349700,"15 Cedar Avenue, Singapore 349700",-0.161780248,51.638725
Changkat Primary School,School,11,Simei Street 3,529896,"11 Simei Street 3, Singapore 529896",103.9522753,1.33982335
CHIJ (Katong) Primary,School,17,Martia Road,424821,"17 Martia Road, Singapore 424821",103.910832,1.30643785
CHIJ (Kellock),School,1,Bukit Teresa Rd,99757,"1 Bukit Teresa Rd, Singapore 099757",103.8280551,1.274664
CHIJ Our Lady of Good Counsel,School,2C,Burghley Drive,558979,"2C Burghley Drive, Singapore 558979",103.8639303,1.3577786
CHIJ Primary (Toa Payoh),School,628,Lorong 1 Toa Payoh,319765,"628 Lorong 1 Toa Payoh, Singapore 319765",103.842403,1.3331269
CHIJ St. Nicholas Girls' School (Primary Section),School,501,Ang Mo Kio Street 13,569405,"501 Ang Mo Kio Street 13, Singapore 569405",103.8340777,1.37344905
Chongfu School,School,170,Yishun Avenue 6,768959,"170 Yishun Avenue 6, Singapore 768959",103.8392901,1.4387276
Chongzheng Primary School,School,1,Tampines Street 21,529392,"1 Tampines Street 21, Singapore 529392",103.9509206,1.35054425
Chua Chu Kang Primary School,School,20,Choa Chu Kang Avenue 2,689905,"20 Choa Chu Kang Avenue 2, Singapore 689905",103.7419841,1.37793775
Clementi Primary School,School,8,Clementi Avenue 3,129903,"8 Clementi Avenue 3, Singapore 129903",103.7632088,1.31556955
Compassvale Primary School,School,21,Compassvale Street,545091,"21 Compassvale Street, Singapore 545091",103.8980034,1.3944211
Concord Primary School,School,3,Choa Chu Kang Ave 4,689814,"3 Choa Chu Kang Ave 4, Singapore 689814",103.7363327,1.38021795
Coral Primary School,School,20,Pasir Ris Street 51,518902,"20 Pasir Ris Street 51, Singapore 518902",103.9510111,1.3684259
Corporation Primary School,School,31,Jurong West Street 24,648347,"31 Jurong West Street 24, Singapore 648347",103.7076954,1.35142845
Da Qiao Primary School,School,8,Ang Mo Kio Street 54,569185,"8 Ang Mo Kio Street 54, Singapore 569185",103.8590299,1.37229715
Damai Primary School,School,52,Bedok Reservoir Crescent,479226,"52 Bedok Reservoir Crescent, Singapore 479226",103.9213901,1.3354514
Dazhong Primary School,School,35,Bukit Batok Street 31,659441,"35 Bukit Batok Street 31, Singapore 659441",103.7479679,1.3591826
De La Salle School,School,11,Choa Chu Kang St. 52,689285,"11 Choa Chu Kang St. 52, Singapore 689285",103.7432593,1.3950086
East Coast Primary School,School,8,Chai Chee Lane,469031,"8 Chai Chee Lane, Singapore 469031",103.916877,1.3288932
East Spring Primary School,School,31,Tampines Street 33,529258,"31 Tampines Street 33, Singapore 529258",103.9619173,1.3528815
East View Primary School,School,4,Tampines Street 91,528907,"4 Tampines Street 91, Singapore 528907",103.9397974,1.3466122
Edgefield Primary School,School,41,Edgefield Plains,828869,"41 Edgefield Plains, Singapore 828869",103.9074942,1.4003555
Elias Park Primary School,School,11,Pasir Ris Street 52,518866,"11 Pasir Ris Street 52, Singapore 518866",103.9452049,1.3749155
Endeavour Primary School,School,10,Admiralty Link,757521,"10 Admiralty Link, Singapore 757521",103.8175792,1.45442995
Eunos Primary School,School,95,Jalan Eunos,419529,"95 Jalan Eunos, Singapore 419529",103.9043661,1.32481685
Evergreen Primary School,School,31,Woodlands Circle,738908,"31 Woodlands Circle, Singapore 738908",103.7947361,1.44383025
Fairfield Methodist School (Primary),School,100,Dover Road,139648,"100 Dover Road, Singapore 139648",-80.8561412,35.7257518
Farrer Park Primary School,School,2,Farrer Park Road,217567,"2 Farrer Park Road #01-01, Singapore 217567",103.8510268,1.3125636
Fengshan Primary School,School,307,Bedok North Road,469680,"307 Bedok North Road, Singapore 469680",103.9318825,1.3300987
Fern Green Primary School,School,70,Fernvale Link,797538,"70 Fernvale Link, Singapore 797538",103.8790729,1.3956847
Fernvale Primary School,School,1,Fernvale Lane,797701,"1 Fernvale Lane, Singapore 797701",103.8742082,1.3899265
First Toa Payoh Primary School,School,7,Lorong 8 Toa Payoh,319252,"7 Lorong 8 Toa Payoh, Singapore 319252",103.8558675,1.3404649
Frontier Primary School,School,20,Jurong West Street 61,64820,"20 Jurong West Street 61, Singapore 64820",103.6996377,1.3369298
Fuchun Primary School,School,23,Woodlands Avenue 1,739063,"23 Woodlands Avenue 1, Singapore 739063",103.7782306,1.43072155
Fuhua Primary School,School,65,Jurong East Street 13,609647,"65 Jurong East St 13, Singapore 609647",103.7364545,1.33648535
Gan Eng Seng Primary School,School,100,Redhill Close,158901,"100 Redhill Close, Singapore 158901",103.8151318,1.28587415
Geylang Methodist School (Primary),School,4,Geylang East Central,389706,"4 Geylang East Central,Â Singapore 389706",103.8865243,1.3188429
Gongshang Primary School,School,1,Tampines Street 42,529176,"1 Tampines Street 42, Singapore 529176",103.9493055,1.3573371
Greendale Primary School,School,50,Edgedale Plains,828848,"50 Edgedale Plains, Singapore 828848",103.9126887,1.3961911
Greenridge Primary School,School,11,Jelapang Road,677744,"11 Jelapang Road, Singapore 677744",103.7680048,1.3856168
Greenwood Primary School,School,11,Woodlands Drive 62,737942,"11 Woodlands Drive 62, Singapore 737942",103.8047573,1.4399652
Guangyang Primary School,School,6,Bishan Street 12,579806,"6 Bishan Street 12, Singapore 579806",103.8493008,1.34577845
Haig Girls' School,School,51,Koon Seng Road,427072,"51 Koon Seng Road, Singapore 427072",103.9025669,1.31187845
Holy Innocents' Primary School,School,5,Lorong Low Koon,536451,"5 Lorong Low Koon, Singapore 536451",103.8938822,1.36708755
Henry Park Primary School,School,1,Holland Grove Road,278790,"1 Holland Grove Road, Singapore 278790",103.7842163,1.3170569
Hong Wen School,School,30,Towner Road,327829,"30 Towner Road, Singapore 327829",103.8575269,1.32178305
Horizon Primary School,School,61,Edgedale Plains,828819,"61 Edgedale Plains, Singapore 828819",103.9130699,1.3999704
Hougang Primary School,School,1,Hougang Street 93,534238,"No.1 Hougang Street 93, Singapore 534238",103.881072,1.3783581
Huamin Primary School,School,21,Yishun Ave 11,768857,"21 Yishun Ave 11, Singapore 768857",103.8442643,1.42686205
Innova Primary School,School,80,Woodlands Drive 17,737888,"80 Woodlands Drive 17, Singapore 737888",103.7907343,1.4292761
Jiemin Primary School,School,2,2 Yishun Street 71,768515,"No. 2 Yishun Street 71, Singapore 768515",103.8309333,1.4272375
Jing Shan Primary SchoolÂ [zh],School,5,Ang Mo Kio 52,569228,"5 Ang Mo Kio 52, Singapore 569228",103.85192,1.371927
Junyuan Primary School,School,2,Tampines Street 91,528906,"2 Tampines Street 91, Singapore 528906",103.9393972,1.347782
Jurong Primary School,School,320,Jurong East Street 32,609476,"320 Jurong East Street 32, Singapore 609476",103.7330556,1.3487249
Jurong West Primary School,School,30,Jurong West Street 61,648368,"30 Jurong West Street 61,Â  Singapore 648368",103.6990273,1.33931415
Juying Primary School,School,31,Jurong West Street 91,649037,"31 Jurong West Street 91, Singapore 649037",103.6882538,1.33875125
Keming Primary School,School,90,Bukit Batok East Ave 6,659762,"90 Bukit Batok East Ave 6, Singapore 659762",103.756399,1.3453422
Kheng Cheng School,School,15,Lorong 3 Toa Payoh,319580,"15 Lorong 3 Toa Payoh, Singapore 319580",103.8474423,1.33703365
Kong Hwa School,School,35,Guillemard Road,399772,"350 Guillemard Road, Singapore 399772",103.8780837,1.3093243
Kranji Primary School,School,11,Choa Chu Kang Street 54,689189,"11 Choa Chu Kang Street 54, Singapore 689189",103.7471551,1.39393915
Kuo Chuan Presbyterian Primary School,School,8,Bishan Street 13,579793,"8 Bishan Street 13, Singapore 579793",103.8550258,1.3492238
Lakeside Primary School,School,161,Corporation Walk,618310,"161 Corporation Walk, Singapore 618310",103.7179883,1.33834735
Lianhua Primary School,School,2,Bukit Batok Street 52,659243,"2 Bukit Batok Street 52, Singapore 659243",103.7540792,1.35386165
Maha Bodhi School,School,10,Ubi Avenue 1,408931,"10 Ubi Avenue 1, Singapore 408931",103.9015345,1.3284777
Maris Stella High School (Primary Section),School,25,Mount Vernon Road,368051,"25 Mount Vernon Road, Singapore 368051",103.8782516,1.34201595
Marsiling Primary School,School,31,Woodlands Centre Road,738927,"31 Woodlands Centre Rd, Singapore 738927",103.7733667,1.4341551
Marymount Convent School,School,20,Marymount Road,297754,"20 Marymount Road, Singapore 297754",103.8397563,1.3402824
Mayflower Primary School,School,6,Ang Mo Kio Ave 2,569948,"6 Ang Mo Kio Ave 2, Singapore 569948",103.8356462,1.3762526
Mee Toh School,School,21,Edgedale Plains,828867,"21 Edgedale Plains, Singapore 828867",103.9086441,1.3948454
Meridian Primary School,School,20,Pasir Ris Street 71,518798,"20 Pasir Ris Street 71, Singapore 518798",103.9351592,1.37603155
Methodist Girls' School (Primary),School,11,Blackmore Drive,599986,"11 Blackmore Drive, Singapore 599986",103.7835765,1.33284035
Montfort Junior School,School,52,Hougang Ave 8,538786,"52 Hougang Ave 8, Singapore 538786",103.8895368,1.37465235
Nan Chiau Primary School,School,50,Anchorvale Link,545080,"50 Anchorvale Link, Singapore 545080",103.8910424,1.39202675
Nan Hua Primary School,School,30,Jln Lempeng,128806,"30 Jln Lempeng, Singapore 128806",103.7616751,1.31983825
Nanyang Primary School,School,52,Kingâ€™s Road,268097,"52 Kingâ€™s Road, Singapore 268097",103.8082166,1.32083185
Ngee Ann Primary School,School,344,Marine Terrace,449149,"344 Marine Terrace, Singapore 449149",103.9179525,1.30554595
Naval Base Primary School,School,7,Yishun Ave 4,769028,"7 Yishun Ave 4, Singapore 769028",103.838461,1.4165306
